Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,elim_island,tune,1,1,9.999991615232071
BentCigar,elim_island,tune,1,2,9.99998905147476
BentCigar,elim_island,tune,1,3,9.99999444580278
BentCigar,elim_island,tune,1,4,9.999999837160301
BentCigar,elim_island,tune,1,5,9.999994566980275
BentCigar,elim_island,tune,1,6,9.999999603240889
BentCigar,elim_island,tune,1,7,9.99999217253325
BentCigar,elim_island,tune,1,8,9.999999997530175
BentCigar,elim_island,tune,1,9,9.99998160220765
BentCigar,elim_island,tune,1,10,9.99999999895359
BentCigar,elim_island,tune,1,11,9.999999383983386
BentCigar,elim_island,tune,1,12,9.999995051707929
BentCigar,elim_island,tune,1,13,9.999998572867488
BentCigar,elim_island,tune,1,14,9.999993434374554
BentCigar,elim_island,tune,1,15,9.999998829075368
BentCigar,elim_island,tune,1,16,9.999994776295033
BentCigar,elim_island,tune,1,17,9.99999302372963
BentCigar,elim_island,tune,1,18,9.99998968547534
BentCigar,elim_island,tune,1,19,9.999996999409715
BentCigar,elim_island,tune,1,20,9.999978070872107
BentCigar,elim_island,tune,1,21,9.99999781691881
BentCigar,elim_island,tune,1,22,9.999989130625464
BentCigar,elim_island,tune,1,23,9.999997373321769
BentCigar,elim_island,tune,1,24,9.999999899374052
BentCigar,elim_island,tune,1,25,9.999964670815647
BentCigar,elim_island,tune,1,26,9.999994737905732
BentCigar,elim_island,tune,1,27,9.999999112266295
BentCigar,elim_island,tune,1,28,9.999922003070365
BentCigar,elim_island,tune,1,29,9.999995420647082
BentCigar,elim_island,tune,1,30,9.99999996341105
BentCigar,elim_island,tune,1,31,9.999994009579623
BentCigar,elim_island,tune,1,32,9.999978803778268
BentCigar,elim_island,tune,1,33,9.999994668727242
BentCigar,elim_island,tune,1,34,9.999999559795508
BentCigar,elim_island,tune,1,35,9.99999859435454
BentCigar,elim_island,tune,1,36,9.999999935688486
BentCigar,elim_island,tune,1,37,9.99999219049539
BentCigar,elim_island,tune,1,38,9.999941072035941
BentCigar,elim_island,tune,1,39,9.999981899665094
BentCigar,elim_island,tune,1,40,9.99999925122151
BentCigar,elim_island,tune,1,41,9.99999999263961
BentCigar,elim_island,tune,1,42,9.999972297583303
BentCigar,elim_island,tune,1,43,9.99999940370897
BentCigar,elim_island,tune,1,44,9.999990328860498
BentCigar,elim_island,tune,1,45,9.999993085252633
BentCigar,elim_island,tune,1,46,9.999998398428339
BentCigar,elim_island,tune,1,47,9.999994874153815
BentCigar,elim_island,tune,1,48,9.999984128450015
BentCigar,elim_island,tune,1,49,9.99999009527758
BentCigar,elim_island,tune,1,50,9.99999124778126
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,elim_island,tune,2,1,9.999999675041671
BentCigar,elim_island,tune,2,2,9.999999783109098
BentCigar,elim_island,tune,2,3,9.999997786463368
BentCigar,elim_island,tune,2,4,9.999999696404727
BentCigar,elim_island,tune,2,5,9.999982712689937
BentCigar,elim_island,tune,2,6,9.999999913324826
BentCigar,elim_island,tune,2,7,9.999999874186162
BentCigar,elim_island,tune,2,8,9.999999561515233
BentCigar,elim_island,tune,2,9,9.999999922270055
BentCigar,elim_island,tune,2,10,9.999979279358142
BentCigar,elim_island,tune,2,11,9.999998175967281
BentCigar,elim_island,tune,2,12,9.999980657959803
BentCigar,elim_island,tune,2,13,9.999965882288327
BentCigar,elim_island,tune,2,14,9.999998743232188
BentCigar,elim_island,tune,2,15,9.999990476972139
BentCigar,elim_island,tune,2,16,9.999999632917545
BentCigar,elim_island,tune,2,17,9.999993359625943
BentCigar,elim_island,tune,2,18,9.999996149413585
BentCigar,elim_island,tune,2,19,9.999999417357838
BentCigar,elim_island,tune,2,20,9.99999450641493
BentCigar,elim_island,tune,2,21,9.999998221678712
BentCigar,elim_island,tune,2,22,9.999992921482919
BentCigar,elim_island,tune,2,23,9.999993800359455
BentCigar,elim_island,tune,2,24,9.999982356797542
BentCigar,elim_island,tune,2,25,9.99997867306522
BentCigar,elim_island,tune,2,26,9.999978989709016
BentCigar,elim_island,tune,2,27,9.999993250033
BentCigar,elim_island,tune,2,28,9.999965389823585
BentCigar,elim_island,tune,2,29,9.99999998789641
BentCigar,elim_island,tune,2,30,9.999996406687103
BentCigar,elim_island,tune,2,31,9.99999495393663
BentCigar,elim_island,tune,2,32,9.999994840405277
BentCigar,elim_island,tune,2,33,9.99999999426776
BentCigar,elim_island,tune,2,34,9.99999998504023
BentCigar,elim_island,tune,2,35,9.999997627961559
BentCigar,elim_island,tune,2,36,9.999999329094152
BentCigar,elim_island,tune,2,37,9.999983207460133
BentCigar,elim_island,tune,2,38,9.999933486584018
BentCigar,elim_island,tune,2,39,9.99998083678851
BentCigar,elim_island,tune,2,40,9.999992102336293
BentCigar,elim_island,tune,2,41,9.999995497473975
BentCigar,elim_island,tune,2,42,9.999986405790732
BentCigar,elim_island,tune,2,43,9.999976775915552
BentCigar,elim_island,tune,2,44,9.999999958030203
BentCigar,elim_island,tune,2,45,9.9999900918873
