Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
BentCigar,elim_island,tune,1,50,9.999990693694803
BentCigar,elim_island,tune,2,50,9.999991171294424
BentCigar,elim_island,tune,3,50,9.999992746298293
BentCigar,elim_island,tune,4,50,9.999993868076341
BentCigar,elim_island,tune,5,50,9.999991637499175
BentCigar,elim_island,tune,6,50,9.999994741697797
BentCigar,elim_island,tune,7,50,9.999992578919416
BentCigar,elim_island,tune,8,50,9.999992822918609
BentCigar,elim_island,tune,9,50,9.999991085512807
BentCigar,elim_island,tune,10,50,9.999991650414211
BentCigar,elim_island,tune,11,50,9.999989161401052
BentCigar,elim_island,tune,12,50,9.999990394193741
BentCigar,elim_island,tune,13,50,9.999990293404341
BentCigar,elim_island,tune,14,50,9.999991435161933
BentCigar,elim_island,tune,15,50,9.999992007373837
BentCigar,elim_island,tune,16,50,9.999985900545793
BentCigar,elim_island,tune,17,50,9.999990414259223
BentCigar,elim_island,tune,18,50,9.999993110742517
BentCigar,elim_island,tune,19,50,9.999990604671583
BentCigar,elim_island,tune,20,50,9.999991909370054
BentCigar,elim_island,tune,21,50,9.999991081834855
BentCigar,elim_island,tune,22,50,9.999994577439807
BentCigar,elim_island,tune,23,50,9.999995016260568
BentCigar,elim_island,tune,24,50,9.999996095390184
BentCigar,elim_island,tune,25,50,9.999996311926902
BentCigar,elim_island,tune,26,50,9.999995498544628
BentCigar,elim_island,tune,27,50,9.999996083608243
BentCigar,elim_island,tune,28,50,9.99999624943681
BentCigar,elim_island,tune,29,50,9.999996135617613
BentCigar,elim_island,tune,30,50,9.999995761637324
BentCigar,elim_island,tune,31,50,9.99999579330833
BentCigar,elim_island,tune,32,50,9.999994822337456
BentCigar,elim_island,tune,33,50,9.99999456510371
BentCigar,elim_island,tune,34,50,9.999994374385983
BentCigar,elim_island,tune,35,50,9.99999315272289
BentCigar,elim_island,tune,36,50,9.999992790116258
BentCigar,elim_island,tune,37,50,9.9999923104297
BentCigar,elim_island,tune,38,50,9.999990897786649
BentCigar,elim_island,tune,39,50,9.999991209752926
BentCigar,elim_island,tune,40,50,9.999989649452559
BentCigar,elim_island,tune,41,50,9.999988937399953
BentCigar,elim_island,tune,42,50,9.99998783448542
BentCigar,elim_island,tune,43,50,9.999986840813461
BentCigar,elim_island,tune,44,50,9.99998558897155
BentCigar,elim_island,tune,45,50,9.999984451706355
BentCigar,elim_island,tune,46,50,9.999982945621978
BentCigar,elim_island,tune,47,50,9.999984146072402
BentCigar,elim_island,tune,48,50,9.999982658851089
BentCigar,elim_island,tune,49,50,9.999982914634979
BentCigar,elim_island,tune,50,50,9.9999822207937
BentCigar,elim_island,tune,51,50,9.99998101423167
BentCigar,elim_island,tune,52,50,9.999982223502228
BentCigar,elim_island,tune,53,50,9.999979671254556
BentCigar,elim_island,tune,54,50,9.999978950427174
BentCigar,elim_island,tune,55,50,9.999980777519736
BentCigar,elim_island,tune,56,50,9.999979918383115
BentCigar,elim_island,tune,57,50,9.999978138825538
BentCigar,elim_island,tune,58,50,9.999977700897908
BentCigar,elim_island,tune,59,50,9.999977091902295
BentCigar,elim_island,tune,60,50,9.99997710124301
BentCigar,elim_island,tune,61,50,9.999974002159911
BentCigar,elim_island,tune,62,50,9.999974991569497
BentCigar,elim_island,tune,63,50,9.999974550516953
BentCigar,elim_island,tune,64,50,9.9999744872273
BentCigar,elim_island,tune,65,50,9.999971621994613
BentCigar,elim_island,tune,66,50,9.999968868596428
BentCigar,elim_island,tune,67,50,9.99997055975171
BentCigar,elim_island,tune,68,50,9.999971411361784
BentCigar,elim_island,tune,69,50,9.999967947996888
BentCigar,elim_island,tune,70,50,9.999965541718277
BentCigar,elim_island,tune,71,50,9.99996786402765
BentCigar,elim_island,tune,72,50,9.999966918429125
BentCigar,elim_island,tune,73,50,9.999963115008635
BentCigar,elim_island,tune,74,50,9.99996457749392
BentCigar,elim_island,tune,75,50,9.999963668122888
BentCigar,elim_island,tune,76,50,9.99995882481732
BentCigar,elim_island,tune,77,50,9.999958977786484
BentCigar,elim_island,tune,78,50,9.999956476380794
BentCigar,elim_island,tune,79,50,9.99995745309821
BentCigar,elim_island,tune,80,50,9.99995745309821
BentCigar,elim_island,tune,81,50,9.99995745309821
BentCigar,elim_island,tune,82,50,9.99995745309821
BentCigar,elim_island,tune,83,50,9.99995745309821
BentCigar,elim_island,tune,84,50,9.99995745309821
BentCigar,elim_island,tune,85,50,9.99995745309821
BentCigar,elim_island,tune,86,50,9.99995745309821
BentCigar,elim_island,tune,87,50,9.99995745309821
BentCigar,elim_island,tune,88,50,9.99995745309821
BentCigar,elim_island,tune,89,50,9.99995745309821
BentCigar,elim_island,tune,90,50,9.99995745309821
BentCigar,elim_island,tune,91,50,9.99995745309821
BentCigar,elim_island,tune,92,50,9.99995745309821
BentCigar,elim_island,tune,93,50,9.99995745309821
BentCigar,elim_island,tune,94,50,9.99995745309821
BentCigar,elim_island,tune,95,50,9.99995745309821
BentCigar,elim_island,tune,96,50,9.99995745309821
BentCigar,elim_island,tune,97,50,9.99995745309821
BentCigar,elim_island,tune,98,50,9.99995745309821
BentCigar,elim_island,tune,99,50,9.99995745309821
BentCigar,elim_island,tune,100,50,9.99995745309821
