Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,0,1,8.987924939770117
KatsuuraEvaluation,cross_interval,tune,0,2,8.822172636171375
KatsuuraEvaluation,cross_interval,tune,0,3,7.942043589425519
KatsuuraEvaluation,cross_interval,tune,0,4,9.38912420655693
KatsuuraEvaluation,cross_interval,tune,0,5,9.229667932846159
KatsuuraEvaluation,cross_interval,tune,0,6,7.950009144164687
KatsuuraEvaluation,cross_interval,tune,0,7,8.913799529129848
KatsuuraEvaluation,cross_interval,tune,0,8,9.434158483228659
KatsuuraEvaluation,cross_interval,tune,0,9,8.326435653547426
KatsuuraEvaluation,cross_interval,tune,0,10,8.841872410155208
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,10,1,6.414247774120225
KatsuuraEvaluation,cross_interval,tune,10,2,8.383421164734296
KatsuuraEvaluation,cross_interval,tune,10,3,8.859435106151775
KatsuuraEvaluation,cross_interval,tune,10,4,7.1766158066900845
KatsuuraEvaluation,cross_interval,tune,10,5,8.354767070813566
KatsuuraEvaluation,cross_interval,tune,10,6,7.153045228702566
KatsuuraEvaluation,cross_interval,tune,10,7,6.421016710721985
KatsuuraEvaluation,cross_interval,tune,10,8,8.858478658345723
KatsuuraEvaluation,cross_interval,tune,10,9,8.939747121608159
KatsuuraEvaluation,cross_interval,tune,10,10,8.45434490311151
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,20,1,8.431854102095087
KatsuuraEvaluation,cross_interval,tune,20,2,8.027722365482132
KatsuuraEvaluation,cross_interval,tune,20,3,9.522842080151074
KatsuuraEvaluation,cross_interval,tune,20,4,7.038079062351123
KatsuuraEvaluation,cross_interval,tune,20,5,8.430523997341298
KatsuuraEvaluation,cross_interval,tune,20,6,8.322073836633397
KatsuuraEvaluation,cross_interval,tune,20,7,9.391261391587976
KatsuuraEvaluation,cross_interval,tune,20,8,8.783713621965358
KatsuuraEvaluation,cross_interval,tune,20,9,8.974357368707945
KatsuuraEvaluation,cross_interval,tune,20,10,8.900668881818076
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,30,1,8.533672204158833
KatsuuraEvaluation,cross_interval,tune,30,2,7.665718086221073
KatsuuraEvaluation,cross_interval,tune,30,3,8.259390899038198
KatsuuraEvaluation,cross_interval,tune,30,4,8.5379316499455
KatsuuraEvaluation,cross_interval,tune,30,5,8.358552704898436
KatsuuraEvaluation,cross_interval,tune,30,6,8.424922558925886
KatsuuraEvaluation,cross_interval,tune,30,7,8.27535182031324
KatsuuraEvaluation,cross_interval,tune,30,8,8.708127527240164
KatsuuraEvaluation,cross_interval,tune,30,9,8.8655289320235
KatsuuraEvaluation,cross_interval,tune,30,10,8.976740971021115
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,40,1,8.307507565825759
KatsuuraEvaluation,cross_interval,tune,40,2,8.98662349675855
KatsuuraEvaluation,cross_interval,tune,40,3,8.439789688494258
KatsuuraEvaluation,cross_interval,tune,40,4,8.237432342991191
KatsuuraEvaluation,cross_interval,tune,40,5,8.202300777982044
