Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
KatsuuraEvaluation,cross_interval,tune,0,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,10,10,7.901511954499989
KatsuuraEvaluation,cross_interval,tune,20,10,8.582309670813347
KatsuuraEvaluation,cross_interval,tune,30,10,8.460593735378593
KatsuuraEvaluation,cross_interval,tune,40,10,8.354584622495606
KatsuuraEvaluation,cross_interval,tune,50,10,8.773763465533467
KatsuuraEvaluation,cross_interval,tune,60,10,9.294797761350603
KatsuuraEvaluation,cross_interval,tune,70,10,9.26333692339912
KatsuuraEvaluation,cross_interval,tune,80,10,9.333910942026982
KatsuuraEvaluation,cross_interval,tune,90,10,9.092167479889557
KatsuuraEvaluation,cross_interval,tune,100,10,9.249716157011443
KatsuuraEvaluation,cross_interval,tune,110,10,9.221006857776793
KatsuuraEvaluation,cross_interval,tune,120,10,9.103711750761038
KatsuuraEvaluation,cross_interval,tune,130,10,9.265094700348508
KatsuuraEvaluation,cross_interval,tune,140,10,9.297872097437644
KatsuuraEvaluation,cross_interval,tune,150,10,9.184680278073396
KatsuuraEvaluation,cross_interval,tune,160,10,9.076493605135
KatsuuraEvaluation,cross_interval,tune,170,10,9.069160248240333
KatsuuraEvaluation,cross_interval,tune,180,10,9.198388903486048
KatsuuraEvaluation,cross_interval,tune,190,10,9.033377705891919
KatsuuraEvaluation,cross_interval,tune,200,10,9.088007030044675
KatsuuraEvaluation,cross_interval,tune,210,10,8.809330134302774
KatsuuraEvaluation,cross_interval,tune,220,10,9.081786976823455
KatsuuraEvaluation,cross_interval,tune,230,10,9.042795082615628
KatsuuraEvaluation,cross_interval,tune,240,10,8.909224046713478
KatsuuraEvaluation,cross_interval,tune,250,10,8.946150104571847
KatsuuraEvaluation,cross_interval,tune,260,10,8.836893390509807
KatsuuraEvaluation,cross_interval,tune,270,10,9.077613951689262
KatsuuraEvaluation,cross_interval,tune,280,10,9.094732428046997
KatsuuraEvaluation,cross_interval,tune,290,10,9.14113155630965
KatsuuraEvaluation,cross_interval,tune,300,10,8.857160134167568
KatsuuraEvaluation,cross_interval,tune,310,10,9.123299778558938
KatsuuraEvaluation,cross_interval,tune,320,10,9.073063214777779
KatsuuraEvaluation,cross_interval,tune,330,10,8.757785676500998
KatsuuraEvaluation,cross_interval,tune,340,10,9.099264923576328
KatsuuraEvaluation,cross_interval,tune,350,10,8.834038921628972
KatsuuraEvaluation,cross_interval,tune,360,10,8.782471326815383
KatsuuraEvaluation,cross_interval,tune,370,10,8.803518409244493
KatsuuraEvaluation,cross_interval,tune,380,10,8.68431427750975
KatsuuraEvaluation,cross_interval,tune,390,10,8.998560740657387
KatsuuraEvaluation,cross_interval,tune,400,10,8.772774182409822
KatsuuraEvaluation,cross_interval,tune,410,10,8.720977462519054
KatsuuraEvaluation,cross_interval,tune,420,10,9.001645427014939
KatsuuraEvaluation,cross_interval,tune,430,10,8.760686134488953
KatsuuraEvaluation,cross_interval,tune,440,10,8.868192842676205
KatsuuraEvaluation,cross_interval,tune,450,10,8.958442840507283
KatsuuraEvaluation,cross_interval,tune,460,10,8.842480750334172
KatsuuraEvaluation,cross_interval,tune,470,10,9.051946447336386
KatsuuraEvaluation,cross_interval,tune,480,10,8.821029991343575
KatsuuraEvaluation,cross_interval,tune,490,10,8.844287613024115
KatsuuraEvaluation,cross_interval,tune,500,10,8.938024872939842
KatsuuraEvaluation,cross_interval,tune,510,10,8.870968081235358
KatsuuraEvaluation,cross_interval,tune,520,10,9.24635844148825
KatsuuraEvaluation,cross_interval,tune,530,10,8.95714701543155
KatsuuraEvaluation,cross_interval,tune,540,10,8.904468826289285
KatsuuraEvaluation,cross_interval,tune,550,10,8.429665949914071
KatsuuraEvaluation,cross_interval,tune,560,10,8.973892662683912
KatsuuraEvaluation,cross_interval,tune,570,10,8.717635944429174
KatsuuraEvaluation,cross_interval,tune,580,10,8.957002950473415
KatsuuraEvaluation,cross_interval,tune,590,10,8.926965625400538
KatsuuraEvaluation,cross_interval,tune,600,10,9.097801248655548
KatsuuraEvaluation,cross_interval,tune,610,10,8.928340291856335
