Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migraion_island,deterministic,-1,1,9.027170744464831
KatsuuraEvaluation,migraion_island,deterministic,-1,2,9.431965002510212
KatsuuraEvaluation,migraion_island,deterministic,-1,3,8.351138381275923
KatsuuraEvaluation,migraion_island,deterministic,-1,4,9.38912421122012
KatsuuraEvaluation,migraion_island,deterministic,-1,5,8.560154498375015
KatsuuraEvaluation,migraion_island,deterministic,-1,6,8.67669065274159
KatsuuraEvaluation,migraion_island,deterministic,-1,7,8.913805814505972
KatsuuraEvaluation,migraion_island,deterministic,-1,8,9.43415848396769
KatsuuraEvaluation,migraion_island,deterministic,-1,9,9.141584654929689
KatsuuraEvaluation,migraion_island,deterministic,-1,10,9.053969512580853
KatsuuraEvaluation,migraion_island,deterministic,-1,11,9.288454371279059
KatsuuraEvaluation,migraion_island,deterministic,-1,12,9.26954130469422
KatsuuraEvaluation,migraion_island,deterministic,-1,13,9.92724874757418
KatsuuraEvaluation,migraion_island,deterministic,-1,14,8.880789734132394
KatsuuraEvaluation,migraion_island,deterministic,-1,15,8.992725399375402
KatsuuraEvaluation,migraion_island,deterministic,-1,16,9.085320727423344
KatsuuraEvaluation,migraion_island,deterministic,-1,17,8.918168945954468
KatsuuraEvaluation,migraion_island,deterministic,-1,18,9.276134407873748
KatsuuraEvaluation,migraion_island,deterministic,-1,19,8.917065975838442
KatsuuraEvaluation,migraion_island,deterministic,-1,20,9.149270235154358
KatsuuraEvaluation,migraion_island,deterministic,-1,21,9.560997928344143
KatsuuraEvaluation,migraion_island,deterministic,-1,22,8.244472729396751
KatsuuraEvaluation,migraion_island,deterministic,-1,23,9.03265360674148
KatsuuraEvaluation,migraion_island,deterministic,-1,24,8.88467825702729
KatsuuraEvaluation,migraion_island,deterministic,-1,25,9.536718262938882
KatsuuraEvaluation,migraion_island,deterministic,-1,26,8.834276109689082
KatsuuraEvaluation,migraion_island,deterministic,-1,27,9.072802709885673
KatsuuraEvaluation,migraion_island,deterministic,-1,28,8.831680717336448
KatsuuraEvaluation,migraion_island,deterministic,-1,29,8.586779840365
KatsuuraEvaluation,migraion_island,deterministic,-1,30,8.949897525559559
KatsuuraEvaluation,migraion_island,deterministic,-1,31,9.429842455312944
KatsuuraEvaluation,migraion_island,deterministic,-1,32,9.511757775536868
KatsuuraEvaluation,migraion_island,deterministic,-1,33,8.133953084741508
KatsuuraEvaluation,migraion_island,deterministic,-1,34,9.450569359483731
KatsuuraEvaluation,migraion_island,deterministic,-1,35,9.074947288146515
KatsuuraEvaluation,migraion_island,deterministic,-1,36,9.737194090880186
KatsuuraEvaluation,migraion_island,deterministic,-1,37,8.872435848758514
KatsuuraEvaluation,migraion_island,deterministic,-1,38,9.135080416220786
KatsuuraEvaluation,migraion_island,deterministic,-1,39,9.315868736007602
KatsuuraEvaluation,migraion_island,deterministic,-1,40,8.987948425485262
KatsuuraEvaluation,migraion_island,deterministic,-1,41,9.762348438957497
KatsuuraEvaluation,migraion_island,deterministic,-1,42,8.862744864392507
KatsuuraEvaluation,migraion_island,deterministic,-1,43,9.010022928209958
KatsuuraEvaluation,migraion_island,deterministic,-1,44,9.394937534361658
KatsuuraEvaluation,migraion_island,deterministic,-1,45,8.904745051008714
KatsuuraEvaluation,migraion_island,deterministic,-1,46,8.973557475826398
KatsuuraEvaluation,migraion_island,deterministic,-1,47,7.205063845780364
KatsuuraEvaluation,migraion_island,deterministic,-1,48,7.829767500231277
KatsuuraEvaluation,migraion_island,deterministic,-1,49,9.152438720750995
KatsuuraEvaluation,migraion_island,deterministic,-1,50,8.84594238044466
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,1,9.336835852590315
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,2,9.390528724039873
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,3,8.665328455583172
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,4,9.690074229760512
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,5,8.952193531750147
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,6,8.474200518102894
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,7,7.5269300026947175
KatsuuraEvaluation,migraion_island,adaptive_reaching_maxunchanged,-1,8,9.137820065676346
