Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
BentCigar,cross_interval,tune,0,50,9.987635118909084
BentCigar,cross_interval,tune,1,50,9.987279561463536
BentCigar,cross_interval,tune,2,50,9.98723517414191
BentCigar,cross_interval,tune,3,50,9.9883424261647
BentCigar,cross_interval,tune,4,50,9.987755453174922
BentCigar,cross_interval,tune,5,50,9.988316836839202
BentCigar,cross_interval,tune,6,50,9.988332057849652
BentCigar,cross_interval,tune,7,50,9.988245748151806
BentCigar,cross_interval,tune,8,50,9.988228938583497
BentCigar,cross_interval,tune,9,50,9.987605230889427
BentCigar,cross_interval,tune,10,50,9.988262980666349
BentCigar,cross_interval,tune,11,50,9.98757508175516
BentCigar,cross_interval,tune,12,50,9.988048214160958
BentCigar,cross_interval,tune,13,50,9.987423545943066
BentCigar,cross_interval,tune,14,50,9.988452286997527
BentCigar,cross_interval,tune,15,50,9.988992819116646
BentCigar,cross_interval,tune,16,50,9.988514178450203
BentCigar,cross_interval,tune,17,50,9.988481467137163
BentCigar,cross_interval,tune,18,50,9.988148849553498
BentCigar,cross_interval,tune,19,50,9.988206841007807
BentCigar,cross_interval,tune,20,50,9.988161099166184
BentCigar,cross_interval,tune,21,50,9.987700091540807
BentCigar,cross_interval,tune,22,50,9.988323226568227
BentCigar,cross_interval,tune,23,50,9.988060963032472
BentCigar,cross_interval,tune,24,50,9.98779992996988
BentCigar,cross_interval,tune,25,50,9.988106132324786
BentCigar,cross_interval,tune,26,50,9.988588152375096
BentCigar,cross_interval,tune,27,50,9.987417168433947
BentCigar,cross_interval,tune,28,50,9.988122685134893
BentCigar,cross_interval,tune,29,50,9.988665686017562
BentCigar,cross_interval,tune,30,50,9.987745450617371
BentCigar,cross_interval,tune,31,50,9.987174247657734
BentCigar,cross_interval,tune,32,50,9.987663052880814
BentCigar,cross_interval,tune,33,50,9.988037792367539
BentCigar,cross_interval,tune,34,50,9.987702432327643
BentCigar,cross_interval,tune,35,50,9.987984251777128
BentCigar,cross_interval,tune,36,50,9.987535727549814
BentCigar,cross_interval,tune,37,50,9.98682966818191
BentCigar,cross_interval,tune,38,50,9.987347391140254
BentCigar,cross_interval,tune,39,50,9.987635118909084
BentCigar,cross_interval,tune,40,50,9.987635118909084
