Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_interval,adaptive_maxunchanged,-1,1,9.990554707002357
BentCigar,migration_interval,adaptive_maxunchanged,-1,2,9.98458802219952
BentCigar,migration_interval,adaptive_maxunchanged,-1,3,9.988535142715222
BentCigar,migration_interval,adaptive_maxunchanged,-1,4,9.988145452118337
BentCigar,migration_interval,adaptive_maxunchanged,-1,5,9.992676630029315
BentCigar,migration_interval,adaptive_maxunchanged,-1,6,9.990678150518113
BentCigar,migration_interval,adaptive_maxunchanged,-1,7,9.992559135123939
BentCigar,migration_interval,adaptive_maxunchanged,-1,8,9.986689431372614
BentCigar,migration_interval,adaptive_maxunchanged,-1,9,9.993294129695169
BentCigar,migration_interval,adaptive_maxunchanged,-1,10,9.983201777526695
BentCigar,migration_interval,adaptive_maxunchanged,-1,11,9.993670849246168
BentCigar,migration_interval,adaptive_maxunchanged,-1,12,9.98382746762692
BentCigar,migration_interval,adaptive_maxunchanged,-1,13,9.987510457189355
BentCigar,migration_interval,adaptive_maxunchanged,-1,14,9.996227489956265
BentCigar,migration_interval,adaptive_maxunchanged,-1,15,9.990378538618298
BentCigar,migration_interval,adaptive_maxunchanged,-1,16,9.989861334414904
BentCigar,migration_interval,adaptive_maxunchanged,-1,17,9.988710744601612
BentCigar,migration_interval,adaptive_maxunchanged,-1,18,9.98178541773148
BentCigar,migration_interval,adaptive_maxunchanged,-1,19,9.992264316299003
BentCigar,migration_interval,adaptive_maxunchanged,-1,20,9.98433271380014
BentCigar,migration_interval,adaptive_maxunchanged,-1,21,9.988797140999148
BentCigar,migration_interval,adaptive_maxunchanged,-1,22,9.98372623917957
BentCigar,migration_interval,adaptive_maxunchanged,-1,23,9.989400639678491
BentCigar,migration_interval,adaptive_maxunchanged,-1,24,9.987320603801225
BentCigar,migration_interval,adaptive_maxunchanged,-1,25,9.985729788740937
BentCigar,migration_interval,adaptive_maxunchanged,-1,26,9.994059617040264
BentCigar,migration_interval,adaptive_maxunchanged,-1,27,9.986094691415534
BentCigar,migration_interval,adaptive_maxunchanged,-1,28,9.986320914889408
BentCigar,migration_interval,adaptive_maxunchanged,-1,29,9.989045788016451
BentCigar,migration_interval,adaptive_maxunchanged,-1,30,9.97458951536581
BentCigar,migration_interval,adaptive_maxunchanged,-1,31,9.985015249512387
BentCigar,migration_interval,adaptive_maxunchanged,-1,32,9.994255581132968
BentCigar,migration_interval,adaptive_maxunchanged,-1,33,9.988683078442238
BentCigar,migration_interval,adaptive_maxunchanged,-1,34,9.99115968526411
BentCigar,migration_interval,adaptive_maxunchanged,-1,35,9.984609887544645
BentCigar,migration_interval,adaptive_maxunchanged,-1,36,9.99259466269364
BentCigar,migration_interval,adaptive_maxunchanged,-1,37,9.982484023933603
BentCigar,migration_interval,adaptive_maxunchanged,-1,38,9.982252420517616
BentCigar,migration_interval,adaptive_maxunchanged,-1,39,9.98103119418213
BentCigar,migration_interval,adaptive_maxunchanged,-1,40,9.989275374376186
BentCigar,migration_interval,adaptive_maxunchanged,-1,41,9.991595918490468
BentCigar,migration_interval,adaptive_maxunchanged,-1,42,9.991142929972682
BentCigar,migration_interval,adaptive_maxunchanged,-1,43,9.980449331204422
BentCigar,migration_interval,adaptive_maxunchanged,-1,44,9.984952761601777
BentCigar,migration_interval,adaptive_maxunchanged,-1,45,9.979459526909654
BentCigar,migration_interval,adaptive_maxunchanged,-1,46,9.984498167102968
BentCigar,migration_interval,adaptive_maxunchanged,-1,47,9.990512162863407
BentCigar,migration_interval,adaptive_maxunchanged,-1,48,9.987212862818973
BentCigar,migration_interval,adaptive_maxunchanged,-1,49,9.988816480013886
BentCigar,migration_interval,adaptive_maxunchanged,-1,50,9.987177799964142
