Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_interval,determinstic,-1,1,9.990345947135033
BentCigar,migration_interval,determinstic,-1,2,9.987631609792317
BentCigar,migration_interval,determinstic,-1,3,9.991871714542784
BentCigar,migration_interval,determinstic,-1,4,9.98479224085845
BentCigar,migration_interval,determinstic,-1,5,9.991602758092055
BentCigar,migration_interval,determinstic,-1,6,9.986271969469419
BentCigar,migration_interval,determinstic,-1,7,9.98520565017939
BentCigar,migration_interval,determinstic,-1,8,9.986681481674298
BentCigar,migration_interval,determinstic,-1,9,9.989317699275496
BentCigar,migration_interval,determinstic,-1,10,9.98641543562779
BentCigar,migration_interval,determinstic,-1,11,9.99454668215381
BentCigar,migration_interval,determinstic,-1,12,9.991023553482055
BentCigar,migration_interval,determinstic,-1,13,9.988138689110555
BentCigar,migration_interval,determinstic,-1,14,9.982857128700411
BentCigar,migration_interval,determinstic,-1,15,9.986697488725222
BentCigar,migration_interval,determinstic,-1,16,9.991585362914392
BentCigar,migration_interval,determinstic,-1,17,9.98889732154117
BentCigar,migration_interval,determinstic,-1,18,9.991903680588813
BentCigar,migration_interval,determinstic,-1,19,9.99074566451148
BentCigar,migration_interval,determinstic,-1,20,9.991290518749333
BentCigar,migration_interval,determinstic,-1,21,9.979442381735192
BentCigar,migration_interval,determinstic,-1,22,9.984469460134838
BentCigar,migration_interval,determinstic,-1,23,9.986246192704192
BentCigar,migration_interval,determinstic,-1,24,9.990484938746121
BentCigar,migration_interval,determinstic,-1,25,9.984658850775363
BentCigar,migration_interval,determinstic,-1,26,9.991241208225585
BentCigar,migration_interval,determinstic,-1,27,9.985393752294417
BentCigar,migration_interval,determinstic,-1,28,9.98519878369986
BentCigar,migration_interval,determinstic,-1,29,9.983015450925688
BentCigar,migration_interval,determinstic,-1,30,9.993982573837153
BentCigar,migration_interval,determinstic,-1,31,9.988132081575465
BentCigar,migration_interval,determinstic,-1,32,9.982971662572243
BentCigar,migration_interval,determinstic,-1,33,9.990404556196115
BentCigar,migration_interval,determinstic,-1,34,9.98728725386553
BentCigar,migration_interval,determinstic,-1,35,9.991804505710206
BentCigar,migration_interval,determinstic,-1,36,9.994970083608768
BentCigar,migration_interval,determinstic,-1,37,9.990831569803891
BentCigar,migration_interval,determinstic,-1,38,9.991030269199848
BentCigar,migration_interval,determinstic,-1,39,9.98823570611169
BentCigar,migration_interval,determinstic,-1,40,9.988650752163617
BentCigar,migration_interval,determinstic,-1,41,9.980754766516231
BentCigar,migration_interval,determinstic,-1,42,9.989096044856694
BentCigar,migration_interval,determinstic,-1,43,9.989190228758341
BentCigar,migration_interval,determinstic,-1,44,9.985188950719564
BentCigar,migration_interval,determinstic,-1,45,9.983785716080877
BentCigar,migration_interval,determinstic,-1,46,9.986160285479567
BentCigar,migration_interval,determinstic,-1,47,9.99350471013913
BentCigar,migration_interval,determinstic,-1,48,9.98548912986257
BentCigar,migration_interval,determinstic,-1,49,9.989676869237769
BentCigar,migration_interval,determinstic,-1,50,9.989547763466152
