Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_interval,tune,15,1,9.994358758460573
BentCigar,migration_interval,tune,15,2,9.986017181287995
BentCigar,migration_interval,tune,15,3,9.985577977612358
BentCigar,migration_interval,tune,15,4,9.991762819497547
BentCigar,migration_interval,tune,15,5,9.99125803585798
BentCigar,migration_interval,tune,15,6,9.99718414772746
BentCigar,migration_interval,tune,15,7,9.990554653967026
BentCigar,migration_interval,tune,15,8,9.993940871522787
BentCigar,migration_interval,tune,15,9,9.994351571371427
BentCigar,migration_interval,tune,15,10,9.979608898617018
BentCigar,migration_interval,tune,15,11,9.990435270549126
BentCigar,migration_interval,tune,15,12,9.989520859714359
BentCigar,migration_interval,tune,15,13,9.98353509530664
BentCigar,migration_interval,tune,15,14,9.988935269276528
BentCigar,migration_interval,tune,15,15,9.988845692368054
BentCigar,migration_interval,tune,15,16,9.98794781230379
BentCigar,migration_interval,tune,15,17,9.99302057113163
BentCigar,migration_interval,tune,15,18,9.991185331240546
BentCigar,migration_interval,tune,15,19,9.992332433543012
BentCigar,migration_interval,tune,15,20,9.990119458224418
BentCigar,migration_interval,tune,15,21,9.986129561062318
BentCigar,migration_interval,tune,15,22,9.993506577436705
BentCigar,migration_interval,tune,15,23,9.983125891044885
BentCigar,migration_interval,tune,15,24,9.989112637918678
BentCigar,migration_interval,tune,15,25,9.990437288024843
BentCigar,migration_interval,tune,15,26,9.992321683994575
BentCigar,migration_interval,tune,15,27,9.987615416246197
BentCigar,migration_interval,tune,15,28,9.987624971094164
BentCigar,migration_interval,tune,15,29,9.989505405370537
BentCigar,migration_interval,tune,15,30,9.992694510744517
BentCigar,migration_interval,tune,15,31,9.984703291431384
BentCigar,migration_interval,tune,15,32,9.98869242746831
BentCigar,migration_interval,tune,15,33,9.994608830881173
BentCigar,migration_interval,tune,15,34,9.994535347482831
BentCigar,migration_interval,tune,15,35,9.991010548021075
BentCigar,migration_interval,tune,15,36,9.991139676478678
BentCigar,migration_interval,tune,15,37,9.981759789189756
BentCigar,migration_interval,tune,15,38,9.99157772565146
BentCigar,migration_interval,tune,15,39,9.985133279536493
BentCigar,migration_interval,tune,15,40,9.988942670426965
BentCigar,migration_interval,tune,15,41,9.987530468479918
BentCigar,migration_interval,tune,15,42,9.98806416324992
BentCigar,migration_interval,tune,15,43,9.984151163880117
BentCigar,migration_interval,tune,15,44,9.985747389425248
BentCigar,migration_interval,tune,15,45,9.98392505471022
BentCigar,migration_interval,tune,15,46,9.983899811650016
BentCigar,migration_interval,tune,15,47,9.985060429518349
BentCigar,migration_interval,tune,15,48,9.99122902362574
BentCigar,migration_interval,tune,15,49,9.985899097996594
BentCigar,migration_interval,tune,15,50,9.989464114210314
