Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,cross_interval,tune,0,1,9.990554707002357
BentCigar,cross_interval,tune,0,2,9.98458802219952
BentCigar,cross_interval,tune,0,3,9.988535142715222
BentCigar,cross_interval,tune,0,4,9.988145452118337
BentCigar,cross_interval,tune,0,5,9.992676630029315
BentCigar,cross_interval,tune,0,6,9.990678150518113
BentCigar,cross_interval,tune,0,7,9.992559135123939
BentCigar,cross_interval,tune,0,8,9.986689431372614
BentCigar,cross_interval,tune,0,9,9.993294129695169
BentCigar,cross_interval,tune,0,10,9.983201777526695
BentCigar,cross_interval,tune,0,11,9.993670849246168
BentCigar,cross_interval,tune,0,12,9.98382746762692
BentCigar,cross_interval,tune,0,13,9.987510457189355
BentCigar,cross_interval,tune,0,14,9.996227489956265
BentCigar,cross_interval,tune,0,15,9.990378538618298
BentCigar,cross_interval,tune,0,16,9.989861334414904
BentCigar,cross_interval,tune,0,17,9.988710744601612
BentCigar,cross_interval,tune,0,18,9.98178541773148
BentCigar,cross_interval,tune,0,19,9.992264316299003
BentCigar,cross_interval,tune,0,20,9.98433271380014
BentCigar,cross_interval,tune,0,21,9.988797140999148
BentCigar,cross_interval,tune,0,22,9.98372623917957
BentCigar,cross_interval,tune,0,23,9.989400639678491
BentCigar,cross_interval,tune,0,24,9.987320603801225
BentCigar,cross_interval,tune,0,25,9.985729788740937
BentCigar,cross_interval,tune,0,26,9.994059617040264
BentCigar,cross_interval,tune,0,27,9.986094691415534
BentCigar,cross_interval,tune,0,28,9.986320914889408
BentCigar,cross_interval,tune,0,29,9.989045788016451
BentCigar,cross_interval,tune,0,30,9.97458951536581
BentCigar,cross_interval,tune,0,31,9.985015249512387
BentCigar,cross_interval,tune,0,32,9.994255581132968
BentCigar,cross_interval,tune,0,33,9.988683078442238
BentCigar,cross_interval,tune,0,34,9.99115968526411
BentCigar,cross_interval,tune,0,35,9.984609887544645
BentCigar,cross_interval,tune,0,36,9.99259466269364
BentCigar,cross_interval,tune,0,37,9.982484023933603
BentCigar,cross_interval,tune,0,38,9.982252420517616
BentCigar,cross_interval,tune,0,39,9.98103119418213
BentCigar,cross_interval,tune,0,40,9.989275374376186
BentCigar,cross_interval,tune,0,41,9.991595918490468
BentCigar,cross_interval,tune,0,42,9.991142929972682
BentCigar,cross_interval,tune,0,43,9.980449331204422
BentCigar,cross_interval,tune,0,44,9.984952761601777
BentCigar,cross_interval,tune,0,45,9.979459526909654
BentCigar,cross_interval,tune,0,46,9.984498167102968
