Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,1,9.999919484427451
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,2,9.984105981112029
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,3,9.999238091230481
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,4,9.982558970437108
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,5,9.99978086170125
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,6,9.999470097970422
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,7,9.999995028105241
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,8,9.999838344583601
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,9,9.998948268504268
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,10,9.999979769227446
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,11,9.999975215170828
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,12,9.99875337597276
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,13,10.0
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,14,9.99953070482644
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,15,9.99995152501305
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,16,9.999347190374198
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,17,9.994932945789524
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,18,9.988707812049796
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,19,9.999112632276367
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,20,9.996960589301832
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,21,9.999776662585951
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,22,9.999551764275639
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,23,9.965592794667934
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,24,9.998611273606159
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,25,9.994878425068647
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,26,9.999999778672155
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,27,9.999304388624346
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,28,9.999861886866807
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,29,9.969748751802182
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,30,9.999980215145147
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,31,9.999451613753482
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,32,9.999758962955402
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,33,9.999706172066551
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,34,9.999321912550391
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,35,9.999980230268209
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,36,9.999729304825246
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,37,9.999873985403957
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,38,9.982174402858131
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,39,9.996537842110154
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,40,9.997486296405718
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,41,9.9581127644079
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,42,9.999817097222897
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,43,9.998891545014311
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,44,9.999690688905824
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,45,9.99913663770592
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,46,9.999333680006748
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,47,9.99959373392135
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,48,9.999833598288033
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,49,9.998988920514426
SchaffersEvaluation,migration_interval,adaptive_maxunchanged,-1,50,9.999993511798515
