Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_interval,determinstic,-1,1,9.998364012066261
SchaffersEvaluation,migration_interval,determinstic,-1,2,9.999179900196886
SchaffersEvaluation,migration_interval,determinstic,-1,3,9.99921910328903
SchaffersEvaluation,migration_interval,determinstic,-1,4,9.999457212795074
SchaffersEvaluation,migration_interval,determinstic,-1,5,9.999364388678169
SchaffersEvaluation,migration_interval,determinstic,-1,6,9.99991416097066
SchaffersEvaluation,migration_interval,determinstic,-1,7,9.999920072285915
SchaffersEvaluation,migration_interval,determinstic,-1,8,9.999955493884471
SchaffersEvaluation,migration_interval,determinstic,-1,9,9.999993267230352
SchaffersEvaluation,migration_interval,determinstic,-1,10,9.99968731887046
SchaffersEvaluation,migration_interval,determinstic,-1,11,10.0
SchaffersEvaluation,migration_interval,determinstic,-1,12,9.93589102500878
SchaffersEvaluation,migration_interval,determinstic,-1,13,9.999992540134246
SchaffersEvaluation,migration_interval,determinstic,-1,14,9.999125574050375
SchaffersEvaluation,migration_interval,determinstic,-1,15,9.999815217080219
SchaffersEvaluation,migration_interval,determinstic,-1,16,9.996616755247171
SchaffersEvaluation,migration_interval,determinstic,-1,17,9.95227933921016
SchaffersEvaluation,migration_interval,determinstic,-1,18,9.99997921269856
SchaffersEvaluation,migration_interval,determinstic,-1,19,9.99997063053593
SchaffersEvaluation,migration_interval,determinstic,-1,20,9.993101822094605
SchaffersEvaluation,migration_interval,determinstic,-1,21,9.999973763166922
SchaffersEvaluation,migration_interval,determinstic,-1,22,10.0
SchaffersEvaluation,migration_interval,determinstic,-1,23,9.969231454782495
SchaffersEvaluation,migration_interval,determinstic,-1,24,9.972037007660978
SchaffersEvaluation,migration_interval,determinstic,-1,25,9.999779277397646
SchaffersEvaluation,migration_interval,determinstic,-1,26,9.999722061868937
SchaffersEvaluation,migration_interval,determinstic,-1,27,9.999980123373645
SchaffersEvaluation,migration_interval,determinstic,-1,28,10.0
SchaffersEvaluation,migration_interval,determinstic,-1,29,9.99265258973429
SchaffersEvaluation,migration_interval,determinstic,-1,30,9.999951415745587
SchaffersEvaluation,migration_interval,determinstic,-1,31,9.996626711633143
SchaffersEvaluation,migration_interval,determinstic,-1,32,9.999384931158472
SchaffersEvaluation,migration_interval,determinstic,-1,33,9.999950602793852
SchaffersEvaluation,migration_interval,determinstic,-1,34,9.999955144538543
SchaffersEvaluation,migration_interval,determinstic,-1,35,9.986808814479966
SchaffersEvaluation,migration_interval,determinstic,-1,36,9.999868323099646
SchaffersEvaluation,migration_interval,determinstic,-1,37,9.997982011711052
SchaffersEvaluation,migration_interval,determinstic,-1,38,9.999822991393263
SchaffersEvaluation,migration_interval,determinstic,-1,39,9.999692894173695
SchaffersEvaluation,migration_interval,determinstic,-1,40,9.999979204065832
SchaffersEvaluation,migration_interval,determinstic,-1,41,9.95534041909382
SchaffersEvaluation,migration_interval,determinstic,-1,42,9.999866162085091
SchaffersEvaluation,migration_interval,determinstic,-1,43,9.99981772263941
SchaffersEvaluation,migration_interval,determinstic,-1,44,9.996198633044367
SchaffersEvaluation,migration_interval,determinstic,-1,45,9.999919152088946
SchaffersEvaluation,migration_interval,determinstic,-1,46,9.999683513797514
SchaffersEvaluation,migration_interval,determinstic,-1,47,9.987297272079813
SchaffersEvaluation,migration_interval,determinstic,-1,48,9.999981686801737
SchaffersEvaluation,migration_interval,determinstic,-1,49,9.993985267917157
SchaffersEvaluation,migration_interval,determinstic,-1,50,9.993377226884057
