Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_interval,tune,4,1,9.999759345466664
SchaffersEvaluation,migration_interval,tune,4,2,10.0
SchaffersEvaluation,migration_interval,tune,4,3,9.998539057684733
SchaffersEvaluation,migration_interval,tune,4,4,10.0
SchaffersEvaluation,migration_interval,tune,4,5,9.999995123550105
SchaffersEvaluation,migration_interval,tune,4,6,10.0
SchaffersEvaluation,migration_interval,tune,4,7,9.999768591156538
SchaffersEvaluation,migration_interval,tune,4,8,9.999915413263881
SchaffersEvaluation,migration_interval,tune,4,9,9.99992657571451
SchaffersEvaluation,migration_interval,tune,4,10,9.999996240087347
SchaffersEvaluation,migration_interval,tune,4,11,9.999767407645148
SchaffersEvaluation,migration_interval,tune,4,12,10.0
SchaffersEvaluation,migration_interval,tune,4,13,10.0
SchaffersEvaluation,migration_interval,tune,4,14,10.0
SchaffersEvaluation,migration_interval,tune,4,15,9.999315203160151
SchaffersEvaluation,migration_interval,tune,4,16,9.999978352078394
SchaffersEvaluation,migration_interval,tune,4,17,9.999958886021505
SchaffersEvaluation,migration_interval,tune,4,18,10.0
SchaffersEvaluation,migration_interval,tune,4,19,9.999995155098658
SchaffersEvaluation,migration_interval,tune,4,20,9.997963821216464
SchaffersEvaluation,migration_interval,tune,4,21,9.999994175017399
SchaffersEvaluation,migration_interval,tune,4,22,10.0
SchaffersEvaluation,migration_interval,tune,4,23,9.999956239845822
SchaffersEvaluation,migration_interval,tune,4,24,9.999994178861419
SchaffersEvaluation,migration_interval,tune,4,25,9.999757987073
SchaffersEvaluation,migration_interval,tune,4,26,9.999627893140895
SchaffersEvaluation,migration_interval,tune,4,27,9.999359640796712
SchaffersEvaluation,migration_interval,tune,4,28,10.0
SchaffersEvaluation,migration_interval,tune,4,29,9.999773691982194
SchaffersEvaluation,migration_interval,tune,4,30,10.0
SchaffersEvaluation,migration_interval,tune,4,31,9.999980191478247
SchaffersEvaluation,migration_interval,tune,4,32,9.99998008394923
SchaffersEvaluation,migration_interval,tune,4,33,9.999840958744048
SchaffersEvaluation,migration_interval,tune,4,34,10.0
SchaffersEvaluation,migration_interval,tune,4,35,10.0
SchaffersEvaluation,migration_interval,tune,4,36,9.999925423480548
SchaffersEvaluation,migration_interval,tune,4,37,9.999615393646172
SchaffersEvaluation,migration_interval,tune,4,38,9.994495920224649
SchaffersEvaluation,migration_interval,tune,4,39,9.99984140095288
SchaffersEvaluation,migration_interval,tune,4,40,10.0
SchaffersEvaluation,migration_interval,tune,4,41,10.0
SchaffersEvaluation,migration_interval,tune,4,42,10.0
SchaffersEvaluation,migration_interval,tune,4,43,9.999977003201849
SchaffersEvaluation,migration_interval,tune,4,44,10.0
SchaffersEvaluation,migration_interval,tune,4,45,9.999979757940181
SchaffersEvaluation,migration_interval,tune,4,46,9.999952801493539
SchaffersEvaluation,migration_interval,tune,4,47,9.999911248781817
SchaffersEvaluation,migration_interval,tune,4,48,9.999948838240455
SchaffersEvaluation,migration_interval,tune,4,49,9.999960573292988
SchaffersEvaluation,migration_interval,tune,4,50,9.999995171552502
