Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
SchaffersEvaluation,cross_interval,tune,0,50,9.995723383895225
SchaffersEvaluation,cross_interval,tune,1,50,9.998335684653131
SchaffersEvaluation,cross_interval,tune,2,50,9.998423331761554
SchaffersEvaluation,cross_interval,tune,3,50,9.9979911162132
SchaffersEvaluation,cross_interval,tune,4,50,9.999734954916816
SchaffersEvaluation,cross_interval,tune,5,50,9.999669721441158
SchaffersEvaluation,cross_interval,tune,6,50,9.999572910713074
SchaffersEvaluation,cross_interval,tune,7,50,9.999628026325002
SchaffersEvaluation,cross_interval,tune,8,50,9.999215191049714
SchaffersEvaluation,cross_interval,tune,9,50,9.994699041290575
SchaffersEvaluation,cross_interval,tune,10,50,9.993567482693804
SchaffersEvaluation,cross_interval,tune,11,50,9.995128427752155
SchaffersEvaluation,cross_interval,tune,12,50,9.99770983317975
SchaffersEvaluation,cross_interval,tune,13,50,9.995746541124424
SchaffersEvaluation,cross_interval,tune,14,50,9.996008083992031
SchaffersEvaluation,cross_interval,tune,15,50,9.998800953092339
SchaffersEvaluation,cross_interval,tune,16,50,9.994916363497559
SchaffersEvaluation,cross_interval,tune,17,50,9.997417519517422
SchaffersEvaluation,cross_interval,tune,18,50,9.998846354477273
SchaffersEvaluation,cross_interval,tune,19,50,9.99536652349753
SchaffersEvaluation,cross_interval,tune,20,50,9.99336669597638
SchaffersEvaluation,cross_interval,tune,21,50,9.998373572798522
SchaffersEvaluation,cross_interval,tune,22,50,9.9951381302833
SchaffersEvaluation,cross_interval,tune,23,50,9.997102812564314
SchaffersEvaluation,cross_interval,tune,24,50,9.99406291409448
SchaffersEvaluation,cross_interval,tune,25,50,9.995106461468419
SchaffersEvaluation,cross_interval,tune,26,50,9.995221630143877
SchaffersEvaluation,cross_interval,tune,27,50,9.99393643906559
SchaffersEvaluation,cross_interval,tune,28,50,9.992490805160166
SchaffersEvaluation,cross_interval,tune,29,50,9.99081613966409
SchaffersEvaluation,cross_interval,tune,30,50,9.99402710750438
SchaffersEvaluation,cross_interval,tune,31,50,9.995489736098596
SchaffersEvaluation,cross_interval,tune,32,50,9.995940281225517
SchaffersEvaluation,cross_interval,tune,33,50,9.994762376821852
SchaffersEvaluation,cross_interval,tune,34,50,9.994714292050315
SchaffersEvaluation,cross_interval,tune,35,50,9.994694344976129
SchaffersEvaluation,cross_interval,tune,36,50,9.992989629126122
SchaffersEvaluation,cross_interval,tune,37,50,9.994148656390484
SchaffersEvaluation,cross_interval,tune,38,50,9.997120997043647
SchaffersEvaluation,cross_interval,tune,39,50,9.993512887953543
SchaffersEvaluation,cross_interval,tune,40,50,9.994157150149649
SchaffersEvaluation,cross_interval,tune,41,50,9.996268914533195
SchaffersEvaluation,cross_interval,tune,42,50,9.995327250173267
SchaffersEvaluation,cross_interval,tune,43,50,9.99550747354828
SchaffersEvaluation,cross_interval,tune,44,50,9.995213912616178
SchaffersEvaluation,cross_interval,tune,45,50,9.995358778192013
SchaffersEvaluation,cross_interval,tune,46,50,9.996528534179921
SchaffersEvaluation,cross_interval,tune,47,50,9.99594168535144
SchaffersEvaluation,cross_interval,tune,48,50,9.996048933147431
SchaffersEvaluation,cross_interval,tune,49,50,9.994183934127362
SchaffersEvaluation,cross_interval,tune,50,50,9.996564897843463
SchaffersEvaluation,cross_interval,tune,51,50,9.996287937866954
SchaffersEvaluation,cross_interval,tune,52,50,9.994810517287782
SchaffersEvaluation,cross_interval,tune,53,50,9.99556171836948
SchaffersEvaluation,cross_interval,tune,54,50,9.99418646706335
SchaffersEvaluation,cross_interval,tune,55,50,9.996250494413408
SchaffersEvaluation,cross_interval,tune,56,50,9.996620177642896
SchaffersEvaluation,cross_interval,tune,57,50,9.99705355913242
SchaffersEvaluation,cross_interval,tune,58,50,9.994529502686222
SchaffersEvaluation,cross_interval,tune,59,50,9.995253837249926
SchaffersEvaluation,cross_interval,tune,60,50,9.996275699530251
SchaffersEvaluation,cross_interval,tune,61,50,9.996878669485634
SchaffersEvaluation,cross_interval,tune,62,50,9.996471349809642
SchaffersEvaluation,cross_interval,tune,63,50,9.996933476443878
SchaffersEvaluation,cross_interval,tune,64,50,9.997204964775312
SchaffersEvaluation,cross_interval,tune,65,50,9.996907237364862
SchaffersEvaluation,cross_interval,tune,66,50,9.998193212231039
SchaffersEvaluation,cross_interval,tune,67,50,9.996679761898672
SchaffersEvaluation,cross_interval,tune,68,50,9.995931496038208
SchaffersEvaluation,cross_interval,tune,69,50,9.994955796904515
SchaffersEvaluation,cross_interval,tune,70,50,9.9975284187448
SchaffersEvaluation,cross_interval,tune,71,50,9.997479278728946
SchaffersEvaluation,cross_interval,tune,72,50,9.99695325818671
SchaffersEvaluation,cross_interval,tune,73,50,9.99741875453723
SchaffersEvaluation,cross_interval,tune,74,50,9.995186365229806
SchaffersEvaluation,cross_interval,tune,75,50,9.995122452035611
SchaffersEvaluation,cross_interval,tune,76,50,9.997722198527796
SchaffersEvaluation,cross_interval,tune,77,50,9.996405704674435
SchaffersEvaluation,cross_interval,tune,78,50,9.996591303446055
SchaffersEvaluation,cross_interval,tune,79,50,9.99488824749446
SchaffersEvaluation,cross_interval,tune,80,50,9.994470974707047
SchaffersEvaluation,cross_interval,tune,81,50,9.995049598270054
SchaffersEvaluation,cross_interval,tune,82,50,9.995818487723595
SchaffersEvaluation,cross_interval,tune,83,50,9.995814019403877
SchaffersEvaluation,cross_interval,tune,84,50,9.995843586439088
SchaffersEvaluation,cross_interval,tune,85,50,9.995466656145243
SchaffersEvaluation,cross_interval,tune,86,50,9.995890109616749
SchaffersEvaluation,cross_interval,tune,87,50,9.994830416018718
SchaffersEvaluation,cross_interval,tune,88,50,9.995184912574556
SchaffersEvaluation,cross_interval,tune,89,50,9.995868461781829
SchaffersEvaluation,cross_interval,tune,90,50,9.99523228190964
SchaffersEvaluation,cross_interval,tune,91,50,9.996093408276055
SchaffersEvaluation,cross_interval,tune,92,50,9.995685257222437
SchaffersEvaluation,cross_interval,tune,93,50,9.995740122349874
SchaffersEvaluation,cross_interval,tune,94,50,9.995258933196885
SchaffersEvaluation,cross_interval,tune,95,50,9.994598487107767
SchaffersEvaluation,cross_interval,tune,96,50,9.995412090773634
SchaffersEvaluation,cross_interval,tune,97,50,9.99592726178185
SchaffersEvaluation,cross_interval,tune,98,50,9.995358946974394
SchaffersEvaluation,cross_interval,tune,99,50,9.994783592625494
SchaffersEvaluation,cross_interval,tune,100,50,9.995554903874476
SchaffersEvaluation,cross_interval,tune,101,50,9.995431891243136
SchaffersEvaluation,cross_interval,tune,102,50,9.995313081423832
SchaffersEvaluation,cross_interval,tune,103,50,9.995158135727765
SchaffersEvaluation,cross_interval,tune,104,50,9.995483743442149
SchaffersEvaluation,cross_interval,tune,105,50,9.996452332717238
SchaffersEvaluation,cross_interval,tune,106,50,9.996616685569236
SchaffersEvaluation,cross_interval,tune,107,50,9.996042946765074
SchaffersEvaluation,cross_interval,tune,108,50,9.996575706088038
SchaffersEvaluation,cross_interval,tune,109,50,9.995024881682582
SchaffersEvaluation,cross_interval,tune,110,50,9.997952059852972
SchaffersEvaluation,cross_interval,tune,111,50,9.995786776130778
SchaffersEvaluation,cross_interval,tune,112,50,9.995126301701527
SchaffersEvaluation,cross_interval,tune,113,50,9.996351798372576
SchaffersEvaluation,cross_interval,tune,114,50,9.995987718075238
SchaffersEvaluation,cross_interval,tune,115,50,9.996158412301028
SchaffersEvaluation,cross_interval,tune,116,50,9.997145391260013
SchaffersEvaluation,cross_interval,tune,117,50,9.99490754652928
SchaffersEvaluation,cross_interval,tune,118,50,9.997569023448404
SchaffersEvaluation,cross_interval,tune,119,50,9.99625649462355
SchaffersEvaluation,cross_interval,tune,120,50,9.995450663105606
SchaffersEvaluation,cross_interval,tune,121,50,9.99510356100309
SchaffersEvaluation,cross_interval,tune,122,50,9.994873738545726
SchaffersEvaluation,cross_interval,tune,123,50,9.996964056611466
SchaffersEvaluation,cross_interval,tune,124,50,9.995680353362545
SchaffersEvaluation,cross_interval,tune,125,50,9.995697150799982
SchaffersEvaluation,cross_interval,tune,126,50,9.995439284798431
SchaffersEvaluation,cross_interval,tune,127,50,9.99520353773878
SchaffersEvaluation,cross_interval,tune,128,50,9.994954107267922
SchaffersEvaluation,cross_interval,tune,129,50,9.994956831104288
SchaffersEvaluation,cross_interval,tune,130,50,9.993654656823244
SchaffersEvaluation,cross_interval,tune,131,50,9.995889205131322
SchaffersEvaluation,cross_interval,tune,132,50,9.994924843425164
SchaffersEvaluation,cross_interval,tune,133,50,9.994637750163735
SchaffersEvaluation,cross_interval,tune,134,50,9.994260400282503
SchaffersEvaluation,cross_interval,tune,135,50,9.99430097406019
SchaffersEvaluation,cross_interval,tune,136,50,9.993644318622234
SchaffersEvaluation,cross_interval,tune,137,50,9.995040189275668
SchaffersEvaluation,cross_interval,tune,138,50,9.993625949662647
SchaffersEvaluation,cross_interval,tune,139,50,9.994214587681931
SchaffersEvaluation,cross_interval,tune,140,50,9.99649937111069
SchaffersEvaluation,cross_interval,tune,141,50,9.99509010848781
SchaffersEvaluation,cross_interval,tune,142,50,9.99394373519988
SchaffersEvaluation,cross_interval,tune,143,50,9.994705572317041
SchaffersEvaluation,cross_interval,tune,144,50,9.99463791278972
SchaffersEvaluation,cross_interval,tune,145,50,9.994970160194729
SchaffersEvaluation,cross_interval,tune,146,50,9.993931321085451
SchaffersEvaluation,cross_interval,tune,147,50,9.995401180611811
SchaffersEvaluation,cross_interval,tune,148,50,9.994828023466315
SchaffersEvaluation,cross_interval,tune,149,50,9.994167897264017
SchaffersEvaluation,cross_interval,tune,150,50,9.993990986659007
SchaffersEvaluation,cross_interval,tune,151,50,9.99544536021842
SchaffersEvaluation,cross_interval,tune,152,50,9.994626274313303
SchaffersEvaluation,cross_interval,tune,153,50,9.993664014118304
SchaffersEvaluation,cross_interval,tune,154,50,9.994161272824455
SchaffersEvaluation,cross_interval,tune,155,50,9.993656888076265
SchaffersEvaluation,cross_interval,tune,156,50,9.994886507420032
SchaffersEvaluation,cross_interval,tune,157,50,9.996203368910189
SchaffersEvaluation,cross_interval,tune,158,50,9.993630940138917
SchaffersEvaluation,cross_interval,tune,159,50,9.994766337867
SchaffersEvaluation,cross_interval,tune,160,50,9.995158976868991
SchaffersEvaluation,cross_interval,tune,161,50,9.994124676188207
SchaffersEvaluation,cross_interval,tune,162,50,9.994592393645837
SchaffersEvaluation,cross_interval,tune,163,50,9.99616676918673
SchaffersEvaluation,cross_interval,tune,164,50,9.99714586806057
SchaffersEvaluation,cross_interval,tune,165,50,9.993666410783035
SchaffersEvaluation,cross_interval,tune,166,50,9.995248400806847
SchaffersEvaluation,cross_interval,tune,167,50,9.99367828700538
SchaffersEvaluation,cross_interval,tune,168,50,9.993647442614856
SchaffersEvaluation,cross_interval,tune,169,50,9.995127077711516
SchaffersEvaluation,cross_interval,tune,170,50,9.993587756695755
SchaffersEvaluation,cross_interval,tune,171,50,9.993743043149086
SchaffersEvaluation,cross_interval,tune,172,50,9.993745299665168
SchaffersEvaluation,cross_interval,tune,173,50,9.995462487263525
SchaffersEvaluation,cross_interval,tune,174,50,9.993971741373823
SchaffersEvaluation,cross_interval,tune,175,50,9.994441618649313
SchaffersEvaluation,cross_interval,tune,176,50,9.995792993237572
SchaffersEvaluation,cross_interval,tune,177,50,9.993590568441162
SchaffersEvaluation,cross_interval,tune,178,50,9.993626753220425
SchaffersEvaluation,cross_interval,tune,179,50,9.993624506571484
SchaffersEvaluation,cross_interval,tune,180,50,9.994887708339874
SchaffersEvaluation,cross_interval,tune,181,50,9.993600498320866
SchaffersEvaluation,cross_interval,tune,182,50,9.993640032123803
SchaffersEvaluation,cross_interval,tune,183,50,9.99404156829116
SchaffersEvaluation,cross_interval,tune,184,50,9.994940081415958
SchaffersEvaluation,cross_interval,tune,185,50,9.994940337502797
SchaffersEvaluation,cross_interval,tune,186,50,9.993582620296076
SchaffersEvaluation,cross_interval,tune,187,50,9.994943618914451
SchaffersEvaluation,cross_interval,tune,188,50,9.994972612236147
SchaffersEvaluation,cross_interval,tune,189,50,9.994924252642917
SchaffersEvaluation,cross_interval,tune,190,50,9.994723926620177
SchaffersEvaluation,cross_interval,tune,191,50,9.994952184082521
SchaffersEvaluation,cross_interval,tune,192,50,9.994936316401917
SchaffersEvaluation,cross_interval,tune,193,50,9.994906590690068
SchaffersEvaluation,cross_interval,tune,194,50,9.99496090076521
SchaffersEvaluation,cross_interval,tune,195,50,9.994955792352647
SchaffersEvaluation,cross_interval,tune,196,50,9.994933423555995
SchaffersEvaluation,cross_interval,tune,197,50,9.9935881194601
SchaffersEvaluation,cross_interval,tune,198,50,9.994947577479302
SchaffersEvaluation,cross_interval,tune,199,50,9.994271260305654
SchaffersEvaluation,cross_interval,tune,200,50,9.994742616817472
SchaffersEvaluation,migration_interval,tune,201,50,9.994957885244323
SchaffersEvaluation,migration_interval,tune,202,50,9.994955958451746
SchaffersEvaluation,migration_interval,tune,203,50,9.993583761491655
SchaffersEvaluation,migration_interval,tune,204,50,9.993602890553191
SchaffersEvaluation,migration_interval,tune,205,50,9.993605718955717
SchaffersEvaluation,migration_interval,tune,206,50,9.993596133298688
SchaffersEvaluation,migration_interval,tune,207,50,9.99360346166488
SchaffersEvaluation,migration_interval,tune,208,50,9.993602345152144
SchaffersEvaluation,migration_interval,tune,209,50,9.993606430665688
SchaffersEvaluation,migration_interval,tune,210,50,9.993605076703675
SchaffersEvaluation,migration_interval,tune,211,50,9.993608256430013
SchaffersEvaluation,migration_interval,tune,212,50,9.993600334492148
SchaffersEvaluation,migration_interval,tune,213,50,9.9936041199245
SchaffersEvaluation,migration_interval,tune,214,50,9.993603279979672
SchaffersEvaluation,migration_interval,tune,215,50,9.993605573216787
SchaffersEvaluation,migration_interval,tune,216,50,9.993666252880256
SchaffersEvaluation,migration_interval,tune,217,50,9.993628218646386
SchaffersEvaluation,migration_interval,tune,218,50,9.993601316299818
SchaffersEvaluation,migration_interval,tune,219,50,9.993671224995989
SchaffersEvaluation,migration_interval,tune,220,50,9.993697420503889
SchaffersEvaluation,migration_interval,tune,221,50,9.99371888298584
SchaffersEvaluation,migration_interval,tune,222,50,9.993665103255017
SchaffersEvaluation,migration_interval,tune,223,50,9.993724078793525
SchaffersEvaluation,migration_interval,tune,224,50,9.993644879942709
SchaffersEvaluation,migration_interval,tune,225,50,9.993586367087063
SchaffersEvaluation,migration_interval,tune,226,50,9.993678545393342
SchaffersEvaluation,migration_interval,tune,227,50,9.993746233745219
SchaffersEvaluation,migration_interval,tune,228,50,9.994547782325698
SchaffersEvaluation,migration_interval,tune,229,50,9.99468714172297
SchaffersEvaluation,migration_interval,tune,230,50,9.993706929940046
SchaffersEvaluation,migration_interval,tune,231,50,9.994516212103871
SchaffersEvaluation,migration_interval,tune,232,50,9.993663133206425
SchaffersEvaluation,migration_interval,tune,233,50,9.994258433329184
SchaffersEvaluation,migration_interval,tune,234,50,9.994662880101181
SchaffersEvaluation,migration_interval,tune,235,50,9.994672004224213
SchaffersEvaluation,migration_interval,tune,236,50,9.994734499398433
SchaffersEvaluation,migration_interval,tune,237,50,9.99459233195433
SchaffersEvaluation,migration_interval,tune,238,50,9.994633292270612
SchaffersEvaluation,migration_interval,tune,239,50,9.995961891631602
SchaffersEvaluation,migration_interval,tune,240,50,9.99591477517795
SchaffersEvaluation,migration_interval,tune,241,50,9.995353499492566
SchaffersEvaluation,migration_interval,tune,242,50,9.994443103527338
SchaffersEvaluation,migration_interval,tune,243,50,9.995031981926008
SchaffersEvaluation,migration_interval,tune,244,50,9.995861961472052
SchaffersEvaluation,migration_interval,tune,245,50,9.99601651773071
SchaffersEvaluation,migration_interval,tune,246,50,9.996121576814584
SchaffersEvaluation,migration_interval,tune,247,50,9.99565655853028
SchaffersEvaluation,migration_interval,tune,248,50,9.996113642145922
SchaffersEvaluation,migration_interval,tune,249,50,9.995219845519422
SchaffersEvaluation,migration_interval,tune,250,50,9.996090673125103
SchaffersEvaluation,migration_interval,tune,251,50,9.996200477940548
SchaffersEvaluation,migration_interval,tune,252,50,9.99580263105775
SchaffersEvaluation,migration_interval,tune,253,50,9.99556931054467
SchaffersEvaluation,migration_interval,tune,254,50,9.995295505723739
SchaffersEvaluation,migration_interval,tune,255,50,9.996119574077335
SchaffersEvaluation,migration_interval,tune,256,50,9.995621131575398
SchaffersEvaluation,migration_interval,tune,257,50,9.995292968907412
SchaffersEvaluation,migration_interval,tune,258,50,9.995219202148869
SchaffersEvaluation,migration_interval,tune,259,50,9.9944059922546
SchaffersEvaluation,migration_interval,tune,260,50,9.995298407193143
