Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,cross_interval,tune,0,1,9.999919348708477
SchaffersEvaluation,cross_interval,tune,0,2,9.984106043960255
SchaffersEvaluation,cross_interval,tune,0,3,9.999238019057344
SchaffersEvaluation,cross_interval,tune,0,4,9.982558970437108
SchaffersEvaluation,cross_interval,tune,0,5,9.99978086170125
SchaffersEvaluation,cross_interval,tune,0,6,9.999470097970422
SchaffersEvaluation,cross_interval,tune,0,7,9.9999950308044
SchaffersEvaluation,cross_interval,tune,0,8,9.999699711331923
SchaffersEvaluation,cross_interval,tune,0,9,9.998948268504268
SchaffersEvaluation,cross_interval,tune,0,10,9.999979832310686
SchaffersEvaluation,cross_interval,tune,0,11,9.999975229856863
SchaffersEvaluation,cross_interval,tune,0,12,9.995967362505153
SchaffersEvaluation,cross_interval,tune,0,13,10.0
SchaffersEvaluation,cross_interval,tune,0,14,9.999722601011339
SchaffersEvaluation,cross_interval,tune,0,15,9.99995147424739
SchaffersEvaluation,cross_interval,tune,0,16,9.99939485355346
SchaffersEvaluation,cross_interval,tune,0,17,9.988908977463874
SchaffersEvaluation,cross_interval,tune,0,18,9.988707812049796
SchaffersEvaluation,cross_interval,tune,0,19,9.999112290526526
SchaffersEvaluation,cross_interval,tune,0,20,9.996960484307829
SchaffersEvaluation,cross_interval,tune,0,21,9.99977631308266
SchaffersEvaluation,cross_interval,tune,0,22,9.999551764275639
SchaffersEvaluation,cross_interval,tune,0,23,9.965592794667934
SchaffersEvaluation,cross_interval,tune,0,24,9.998611273606159
SchaffersEvaluation,cross_interval,tune,0,25,9.994878425068647
SchaffersEvaluation,cross_interval,tune,0,26,10.0
SchaffersEvaluation,cross_interval,tune,0,27,9.999304388624346
SchaffersEvaluation,cross_interval,tune,0,28,9.999861886866807
SchaffersEvaluation,cross_interval,tune,0,29,9.969748751802182
SchaffersEvaluation,cross_interval,tune,0,30,9.999980215145147
SchaffersEvaluation,cross_interval,tune,0,31,9.998496049172724
SchaffersEvaluation,cross_interval,tune,0,32,9.999672413341155
SchaffersEvaluation,cross_interval,tune,0,33,9.999706172066551
SchaffersEvaluation,cross_interval,tune,0,34,9.999321912550391
SchaffersEvaluation,cross_interval,tune,0,35,9.999980230268209
SchaffersEvaluation,cross_interval,tune,0,36,9.999729044945958
SchaffersEvaluation,cross_interval,tune,0,37,9.99987385022913
SchaffersEvaluation,cross_interval,tune,0,38,9.982174402858131
SchaffersEvaluation,cross_interval,tune,0,39,9.999361449311648
SchaffersEvaluation,cross_interval,tune,0,40,9.997486296405718
SchaffersEvaluation,cross_interval,tune,0,41,9.9581127644079
SchaffersEvaluation,cross_interval,tune,0,42,9.999817981990947
SchaffersEvaluation,cross_interval,tune,0,43,9.998891629376413
SchaffersEvaluation,cross_interval,tune,0,44,9.996963563614205
SchaffersEvaluation,cross_interval,tune,0,45,9.99913663770592
SchaffersEvaluation,cross_interval,tune,0,46,9.99933358106902
SchaffersEvaluation,cross_interval,tune,0,47,9.999592101398347
SchaffersEvaluation,cross_interval,tune,0,48,9.999833598288033
SchaffersEvaluation,cross_interval,tune,0,49,9.998988920514426
SchaffersEvaluation,cross_interval,tune,0,50,9.999993511798515
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,cross_interval,tune,1,1,9.999976172645004
SchaffersEvaluation,cross_interval,tune,1,2,9.999798286631467
SchaffersEvaluation,cross_interval,tune,1,3,10.0
