Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_size,tune,2,1,9.992631403409826
BentCigar,migration_size,tune,2,2,9.99178674055925
BentCigar,migration_size,tune,2,3,9.985086531780846
BentCigar,migration_size,tune,2,4,9.9933063002865
BentCigar,migration_size,tune,2,5,9.993195453564862
BentCigar,migration_size,tune,2,6,9.992418358245988
BentCigar,migration_size,tune,2,7,9.984506357375082
BentCigar,migration_size,tune,2,8,9.99475260941318
BentCigar,migration_size,tune,2,9,9.991200950897458
BentCigar,migration_size,tune,2,10,9.983774635892411
BentCigar,migration_size,tune,2,11,9.995619609699752
BentCigar,migration_size,tune,2,12,9.995159646342316
BentCigar,migration_size,tune,2,13,9.986232853343214
BentCigar,migration_size,tune,2,14,9.987299499498977
BentCigar,migration_size,tune,2,15,9.992570142075687
BentCigar,migration_size,tune,2,16,9.99489149287115
BentCigar,migration_size,tune,2,17,9.984053757755367
BentCigar,migration_size,tune,2,18,9.98798734210521
BentCigar,migration_size,tune,2,19,9.992950894279469
BentCigar,migration_size,tune,2,20,9.984242439485856
BentCigar,migration_size,tune,2,21,9.984950901886728
BentCigar,migration_size,tune,2,22,9.990243101032195
BentCigar,migration_size,tune,2,23,9.985755130754137
BentCigar,migration_size,tune,2,24,9.98691048153945
BentCigar,migration_size,tune,2,25,9.983543411432032
BentCigar,migration_size,tune,2,26,9.987956375843643
BentCigar,migration_size,tune,2,27,9.988617829830561
BentCigar,migration_size,tune,2,28,9.985468084670138
BentCigar,migration_size,tune,2,29,9.986869816138606
BentCigar,migration_size,tune,2,30,9.98516966121198
BentCigar,migration_size,tune,2,31,9.983595752904458
BentCigar,migration_size,tune,2,32,9.992415167509115
BentCigar,migration_size,tune,2,33,9.989356745774472
BentCigar,migration_size,tune,2,34,9.990793622265628
BentCigar,migration_size,tune,2,35,9.992400458312385
BentCigar,migration_size,tune,2,36,9.991749407077155
BentCigar,migration_size,tune,2,37,9.988419549102193
BentCigar,migration_size,tune,2,38,9.977872601601643
BentCigar,migration_size,tune,2,39,9.986687300594808
BentCigar,migration_size,tune,2,40,9.993171578788951
BentCigar,migration_size,tune,2,41,9.992481714041055
BentCigar,migration_size,tune,2,42,9.98162770385406
BentCigar,migration_size,tune,2,43,9.987759839132643
BentCigar,migration_size,tune,2,44,9.98871356866491
BentCigar,migration_size,tune,2,45,9.982577956203198
BentCigar,migration_size,tune,2,46,9.98838987408369
BentCigar,migration_size,tune,2,47,9.990988984878097
BentCigar,migration_size,tune,2,48,9.994454715584698
BentCigar,migration_size,tune,2,49,9.98905858031325
BentCigar,migration_size,tune,2,50,9.988719995531897
