Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_size,tune,0,1,9.990554707002357
BentCigar,migration_size,tune,0,2,9.98458802219952
BentCigar,migration_size,tune,0,3,9.988535142715222
BentCigar,migration_size,tune,0,4,9.988145452118337
BentCigar,migration_size,tune,0,5,9.992676630029315
BentCigar,migration_size,tune,0,6,9.990678150518113
BentCigar,migration_size,tune,0,7,9.992559135123939
BentCigar,migration_size,tune,0,8,9.986689431372614
BentCigar,migration_size,tune,0,9,9.993294129695169
BentCigar,migration_size,tune,0,10,9.983201777526695
BentCigar,migration_size,tune,0,11,9.993670849246168
BentCigar,migration_size,tune,0,12,9.98382746762692
BentCigar,migration_size,tune,0,13,9.987510457189355
BentCigar,migration_size,tune,0,14,9.996227489956265
BentCigar,migration_size,tune,0,15,9.990378538618298
BentCigar,migration_size,tune,0,16,9.989861334414904
BentCigar,migration_size,tune,0,17,9.988710744601612
BentCigar,migration_size,tune,0,18,9.98178541773148
BentCigar,migration_size,tune,0,19,9.992264316299003
BentCigar,migration_size,tune,0,20,9.98433271380014
BentCigar,migration_size,tune,0,21,9.988797140999148
BentCigar,migration_size,tune,0,22,9.98372623917957
BentCigar,migration_size,tune,0,23,9.989400639678491
BentCigar,migration_size,tune,0,24,9.987320603801225
BentCigar,migration_size,tune,0,25,9.985729788740937
BentCigar,migration_size,tune,0,26,9.994059617040264
BentCigar,migration_size,tune,0,27,9.986094691415534
BentCigar,migration_size,tune,0,28,9.986320914889408
BentCigar,migration_size,tune,0,29,9.989045788016451
BentCigar,migration_size,tune,0,30,9.97458951536581
BentCigar,migration_size,tune,0,31,9.985015249512387
BentCigar,migration_size,tune,0,32,9.994255581132968
BentCigar,migration_size,tune,0,33,9.988683078442238
BentCigar,migration_size,tune,0,34,9.99115968526411
BentCigar,migration_size,tune,0,35,9.984609887544645
BentCigar,migration_size,tune,0,36,9.99259466269364
BentCigar,migration_size,tune,0,37,9.982484023933603
BentCigar,migration_size,tune,0,38,9.982252420517616
BentCigar,migration_size,tune,0,39,9.98103119418213
BentCigar,migration_size,tune,0,40,9.989275374376186
BentCigar,migration_size,tune,0,41,9.991595918490468
BentCigar,migration_size,tune,0,42,9.991142929972682
BentCigar,migration_size,tune,0,43,9.980449331204422
BentCigar,migration_size,tune,0,44,9.984952761601777
BentCigar,migration_size,tune,0,45,9.979459526909654
BentCigar,migration_size,tune,0,46,9.984498167102968
BentCigar,migration_size,tune,0,47,9.990512162863407
BentCigar,migration_size,tune,0,48,9.987212862818973
BentCigar,migration_size,tune,0,49,9.988816480013886
BentCigar,migration_size,tune,0,50,9.987177799964142
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_size,tune,1,1,9.986696963156753
BentCigar,migration_size,tune,1,2,9.98932035881641
BentCigar,migration_size,tune,1,3,9.988618271594342
BentCigar,migration_size,tune,1,4,9.982525502656806
BentCigar,migration_size,tune,1,5,9.990976415245472
BentCigar,migration_size,tune,1,6,9.988904844739146
BentCigar,migration_size,tune,1,7,9.99185383303683
BentCigar,migration_size,tune,1,8,9.990149192442775
BentCigar,migration_size,tune,1,9,9.993549221855119
BentCigar,migration_size,tune,1,10,9.975055729922005
BentCigar,migration_size,tune,1,11,9.993614774174617
BentCigar,migration_size,tune,1,12,9.987008811356937
BentCigar,migration_size,tune,1,13,9.984335217374426
BentCigar,migration_size,tune,1,14,9.994176514229013
BentCigar,migration_size,tune,1,15,9.9897054021017
BentCigar,migration_size,tune,1,16,9.991126954683729
BentCigar,migration_size,tune,1,17,9.985902826942626
BentCigar,migration_size,tune,1,18,9.988044563024928
BentCigar,migration_size,tune,1,19,9.990214942233429
BentCigar,migration_size,tune,1,20,9.981543969615004
BentCigar,migration_size,tune,1,21,9.98303876932451
BentCigar,migration_size,tune,1,22,9.993841921586586
BentCigar,migration_size,tune,1,23,9.984884063835022
BentCigar,migration_size,tune,1,24,9.98734984666213
BentCigar,migration_size,tune,1,25,9.9889855541145
BentCigar,migration_size,tune,1,26,9.991837529736294
BentCigar,migration_size,tune,1,27,9.98802789998575
BentCigar,migration_size,tune,1,28,9.990912438668877
BentCigar,migration_size,tune,1,29,9.989936090349692
BentCigar,migration_size,tune,1,30,9.984411718125905
BentCigar,migration_size,tune,1,31,9.982168293416752
BentCigar,migration_size,tune,1,32,9.990898174179279
BentCigar,migration_size,tune,1,33,9.98809969473346
BentCigar,migration_size,tune,1,34,9.989769031133614
BentCigar,migration_size,tune,1,35,9.986789613539697
BentCigar,migration_size,tune,1,36,9.991617494102911
BentCigar,migration_size,tune,1,37,9.987684584944207
BentCigar,migration_size,tune,1,38,9.993283493342792
BentCigar,migration_size,tune,1,39,9.991504505053543
BentCigar,migration_size,tune,1,40,9.988228479504858
BentCigar,migration_size,tune,1,41,9.990780086476086
BentCigar,migration_size,tune,1,42,9.986349107073373
BentCigar,migration_size,tune,1,43,9.97531448097668
BentCigar,migration_size,tune,1,44,9.9929171710549
BentCigar,migration_size,tune,1,45,9.988285699457103
BentCigar,migration_size,tune,1,46,9.97939430689453
BentCigar,migration_size,tune,1,47,9.989785631316249
BentCigar,migration_size,tune,1,48,9.988579636984124
BentCigar,migration_size,tune,1,49,9.988664701463012
BentCigar,migration_size,tune,1,50,9.993997792201348
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_size,tune,2,1,9.992631403409826
BentCigar,migration_size,tune,2,2,9.99178674055925
BentCigar,migration_size,tune,2,3,9.985086531780846
BentCigar,migration_size,tune,2,4,9.9933063002865
BentCigar,migration_size,tune,2,5,9.993195453564862
BentCigar,migration_size,tune,2,6,9.992418358245988
BentCigar,migration_size,tune,2,7,9.984506357375082
BentCigar,migration_size,tune,2,8,9.99475260941318
BentCigar,migration_size,tune,2,9,9.991200950897458
BentCigar,migration_size,tune,2,10,9.983774635892411
BentCigar,migration_size,tune,2,11,9.995619609699752
BentCigar,migration_size,tune,2,12,9.995159646342316
BentCigar,migration_size,tune,2,13,9.986232853343214
BentCigar,migration_size,tune,2,14,9.987299499498977
BentCigar,migration_size,tune,2,15,9.992570142075687
BentCigar,migration_size,tune,2,16,9.99489149287115
BentCigar,migration_size,tune,2,17,9.984053757755367
BentCigar,migration_size,tune,2,18,9.98798734210521
BentCigar,migration_size,tune,2,19,9.992950894279469
BentCigar,migration_size,tune,2,20,9.984242439485856
BentCigar,migration_size,tune,2,21,9.984950901886728
BentCigar,migration_size,tune,2,22,9.990243101032195
BentCigar,migration_size,tune,2,23,9.985755130754137
BentCigar,migration_size,tune,2,24,9.98691048153945
BentCigar,migration_size,tune,2,25,9.983543411432032
