Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migration_size,tune,0,1,8.987924939770117
KatsuuraEvaluation,migration_size,tune,0,2,8.822172636171375
KatsuuraEvaluation,migration_size,tune,0,3,7.942043589425519
KatsuuraEvaluation,migration_size,tune,0,4,9.38912420655693
KatsuuraEvaluation,migration_size,tune,0,5,9.229667932846159
KatsuuraEvaluation,migration_size,tune,0,6,7.950009144164687
KatsuuraEvaluation,migration_size,tune,0,7,8.913799529129848
KatsuuraEvaluation,migration_size,tune,0,8,9.434158483228659
KatsuuraEvaluation,migration_size,tune,0,9,8.326435653547426
KatsuuraEvaluation,migration_size,tune,0,10,8.841872410155208
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migration_size,tune,1,1,9.122715613230515
KatsuuraEvaluation,migration_size,tune,1,2,8.566337655748349
KatsuuraEvaluation,migration_size,tune,1,3,9.222211063535998
KatsuuraEvaluation,migration_size,tune,1,4,9.723878476042785
KatsuuraEvaluation,migration_size,tune,1,5,9.574881711393433
KatsuuraEvaluation,migration_size,tune,1,6,8.745801537343187
KatsuuraEvaluation,migration_size,tune,1,7,8.913799528422189
KatsuuraEvaluation,migration_size,tune,1,8,9.434158483228659
KatsuuraEvaluation,migration_size,tune,1,9,9.036585264214786
KatsuuraEvaluation,migration_size,tune,1,10,8.691184433470598
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migration_size,tune,2,1,8.99813020027912
KatsuuraEvaluation,migration_size,tune,2,2,8.650931300396737
KatsuuraEvaluation,migration_size,tune,2,3,8.916588899183052
KatsuuraEvaluation,migration_size,tune,2,4,9.38912420647953
KatsuuraEvaluation,migration_size,tune,2,5,8.683963602752108
KatsuuraEvaluation,migration_size,tune,2,6,8.217232943126664
KatsuuraEvaluation,migration_size,tune,2,7,8.913799528422189
KatsuuraEvaluation,migration_size,tune,2,8,9.434158483228659
KatsuuraEvaluation,migration_size,tune,2,9,8.74856443435998
KatsuuraEvaluation,migration_size,tune,2,10,8.452592860032022
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migration_size,tune,3,1,9.228813793736114
