Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migration_size,adaptive,-1,1,9.32716644707748
KatsuuraEvaluation,migration_size,adaptive,-1,2,9.046922310707764
KatsuuraEvaluation,migration_size,adaptive,-1,3,8.921225680552851
KatsuuraEvaluation,migration_size,adaptive,-1,4,9.389124211593682
KatsuuraEvaluation,migration_size,adaptive,-1,5,8.537180340756732
KatsuuraEvaluation,migration_size,adaptive,-1,6,8.995621068053657
KatsuuraEvaluation,migration_size,adaptive,-1,7,8.913805814505972
KatsuuraEvaluation,migration_size,adaptive,-1,8,9.434158484058683
KatsuuraEvaluation,migration_size,adaptive,-1,9,9.797601363337517
KatsuuraEvaluation,migration_size,adaptive,-1,10,9.528887931541925
KatsuuraEvaluation,migration_size,adaptive,-1,11,8.80602180976323
KatsuuraEvaluation,migration_size,adaptive,-1,12,8.263888515111994
KatsuuraEvaluation,migration_size,adaptive,-1,13,8.713273723023113
KatsuuraEvaluation,migration_size,adaptive,-1,14,8.826787748784577
KatsuuraEvaluation,migration_size,adaptive,-1,15,8.639908393962292
KatsuuraEvaluation,migration_size,adaptive,-1,16,9.085320727354024
KatsuuraEvaluation,migration_size,adaptive,-1,17,8.737583680390804
KatsuuraEvaluation,migration_size,adaptive,-1,18,8.921318703034526
KatsuuraEvaluation,migration_size,adaptive,-1,19,8.922292203297346
KatsuuraEvaluation,migration_size,adaptive,-1,20,7.573071596965121
KatsuuraEvaluation,migration_size,adaptive,-1,21,8.57500530837054
KatsuuraEvaluation,migration_size,adaptive,-1,22,9.239544037941954
KatsuuraEvaluation,migration_size,adaptive,-1,23,8.290986850409357
KatsuuraEvaluation,migration_size,adaptive,-1,24,8.149177502786925
KatsuuraEvaluation,migration_size,adaptive,-1,25,8.992106024859726
KatsuuraEvaluation,migration_size,adaptive,-1,26,8.9981067206753
KatsuuraEvaluation,migration_size,adaptive,-1,27,9.23748798990291
KatsuuraEvaluation,migration_size,adaptive,-1,28,8.972858123366782
KatsuuraEvaluation,migration_size,adaptive,-1,29,9.392804489606828
KatsuuraEvaluation,migration_size,adaptive,-1,30,9.46584529469542
KatsuuraEvaluation,migration_size,adaptive,-1,31,9.14151751763728
KatsuuraEvaluation,migration_size,adaptive,-1,32,8.841502416399274
KatsuuraEvaluation,migration_size,adaptive,-1,33,8.323781988488406
KatsuuraEvaluation,migration_size,adaptive,-1,34,8.81224272479609
KatsuuraEvaluation,migration_size,adaptive,-1,35,9.147166005472593
KatsuuraEvaluation,migration_size,adaptive,-1,36,8.776007575875827
KatsuuraEvaluation,migration_size,adaptive,-1,37,9.384737511981603
KatsuuraEvaluation,migration_size,adaptive,-1,38,8.959679997291362
KatsuuraEvaluation,migration_size,adaptive,-1,39,9.01200799821413
KatsuuraEvaluation,migration_size,adaptive,-1,40,9.240765241793262
KatsuuraEvaluation,migration_size,adaptive,-1,41,9.474031928659167
KatsuuraEvaluation,migration_size,adaptive,-1,42,9.826856018071918
KatsuuraEvaluation,migration_size,adaptive,-1,43,8.488418450165572
KatsuuraEvaluation,migration_size,adaptive,-1,44,9.409071442357943
KatsuuraEvaluation,migration_size,adaptive,-1,45,8.909984577600015
KatsuuraEvaluation,migration_size,adaptive,-1,46,8.381020895303497
KatsuuraEvaluation,migration_size,adaptive,-1,47,8.606769939419229
KatsuuraEvaluation,migration_size,adaptive,-1,48,9.36942852444875
KatsuuraEvaluation,migration_size,adaptive,-1,49,8.832047131228412
KatsuuraEvaluation,migration_size,adaptive,-1,50,8.18437027565884
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
