Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migration_size,determinstic,-1,1,8.501910233797705
KatsuuraEvaluation,migration_size,determinstic,-1,2,9.187725223350885
KatsuuraEvaluation,migration_size,determinstic,-1,3,9.426796770509668
KatsuuraEvaluation,migration_size,determinstic,-1,4,9.38912421122012
KatsuuraEvaluation,migration_size,determinstic,-1,5,8.421917299146752
KatsuuraEvaluation,migration_size,determinstic,-1,6,8.444067720345576
KatsuuraEvaluation,migration_size,determinstic,-1,7,9.358929372264779
KatsuuraEvaluation,migration_size,determinstic,-1,8,9.43415848396769
KatsuuraEvaluation,migration_size,determinstic,-1,9,7.710495463465876
KatsuuraEvaluation,migration_size,determinstic,-1,10,8.969946089964346
KatsuuraEvaluation,migration_size,determinstic,-1,11,8.414201406492642
KatsuuraEvaluation,migration_size,determinstic,-1,12,8.958372832181338
KatsuuraEvaluation,migration_size,determinstic,-1,13,9.018982821624828
KatsuuraEvaluation,migration_size,determinstic,-1,14,8.430843848171873
KatsuuraEvaluation,migration_size,determinstic,-1,15,8.992725399375402
KatsuuraEvaluation,migration_size,determinstic,-1,16,9.085320727423344
KatsuuraEvaluation,migration_size,determinstic,-1,17,8.403988104447034
KatsuuraEvaluation,migration_size,determinstic,-1,18,8.364194568588744
KatsuuraEvaluation,migration_size,determinstic,-1,19,8.917065975892982
KatsuuraEvaluation,migration_size,determinstic,-1,20,9.01441415897413
KatsuuraEvaluation,migration_size,determinstic,-1,21,8.916391912350218
KatsuuraEvaluation,migration_size,determinstic,-1,22,7.869426152394147
KatsuuraEvaluation,migration_size,determinstic,-1,23,8.839072779724358
KatsuuraEvaluation,migration_size,determinstic,-1,24,9.036751183378067
KatsuuraEvaluation,migration_size,determinstic,-1,25,8.939783880499906
KatsuuraEvaluation,migration_size,determinstic,-1,26,8.334161081695123
KatsuuraEvaluation,migration_size,determinstic,-1,27,8.743698163755347
KatsuuraEvaluation,migration_size,determinstic,-1,28,9.519063240219609
KatsuuraEvaluation,migration_size,determinstic,-1,29,8.79113983334234
KatsuuraEvaluation,migration_size,determinstic,-1,30,8.633895595826734
KatsuuraEvaluation,migration_size,determinstic,-1,31,8.664606022461438
KatsuuraEvaluation,migration_size,determinstic,-1,32,9.529581343693362
KatsuuraEvaluation,migration_size,determinstic,-1,33,8.012104075485142
KatsuuraEvaluation,migration_size,determinstic,-1,34,8.716673382204675
KatsuuraEvaluation,migration_size,determinstic,-1,35,9.074947288146515
KatsuuraEvaluation,migration_size,determinstic,-1,36,9.360346593862642
KatsuuraEvaluation,migration_size,determinstic,-1,37,8.367047780160009
KatsuuraEvaluation,migration_size,determinstic,-1,38,9.14285336712793
KatsuuraEvaluation,migration_size,determinstic,-1,39,9.012008002009544
KatsuuraEvaluation,migration_size,determinstic,-1,40,8.254346806252617
KatsuuraEvaluation,migration_size,determinstic,-1,41,8.702861248028515
KatsuuraEvaluation,migration_size,determinstic,-1,42,9.340082511197542
KatsuuraEvaluation,migration_size,determinstic,-1,43,8.929623447040337
KatsuuraEvaluation,migration_size,determinstic,-1,44,8.956940536710125
KatsuuraEvaluation,migration_size,determinstic,-1,45,8.904995424102971
KatsuuraEvaluation,migration_size,determinstic,-1,46,8.519348143250145
KatsuuraEvaluation,migration_size,determinstic,-1,47,7.784907712428915
KatsuuraEvaluation,migration_size,determinstic,-1,48,8.109417184203773
KatsuuraEvaluation,migration_size,determinstic,-1,49,8.470490687803675
KatsuuraEvaluation,migration_size,determinstic,-1,50,7.534802647356875
