Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,migration_size,tune,9,1,8.710994120782225
KatsuuraEvaluation,migration_size,tune,9,2,9.245604486644288
KatsuuraEvaluation,migration_size,tune,9,3,8.9695706810164
KatsuuraEvaluation,migration_size,tune,9,4,9.389124213701571
KatsuuraEvaluation,migration_size,tune,9,5,9.251984682432061
KatsuuraEvaluation,migration_size,tune,9,6,9.488307986001134
KatsuuraEvaluation,migration_size,tune,9,7,9.250880444613733
KatsuuraEvaluation,migration_size,tune,9,8,9.785988202087154
KatsuuraEvaluation,migration_size,tune,9,9,8.68212262311285
KatsuuraEvaluation,migration_size,tune,9,10,9.288036756280054
KatsuuraEvaluation,migration_size,tune,9,11,9.484428351835616
KatsuuraEvaluation,migration_size,tune,9,12,9.021673786095283
KatsuuraEvaluation,migration_size,tune,9,13,9.865202596237788
KatsuuraEvaluation,migration_size,tune,9,14,9.71706513915009
KatsuuraEvaluation,migration_size,tune,9,15,9.143483856871379
KatsuuraEvaluation,migration_size,tune,9,16,9.085320726964392
KatsuuraEvaluation,migration_size,tune,9,17,8.88005264291569
KatsuuraEvaluation,migration_size,tune,9,18,8.864789991175373
KatsuuraEvaluation,migration_size,tune,9,19,9.881378789964335
KatsuuraEvaluation,migration_size,tune,9,20,7.988481416886391
KatsuuraEvaluation,migration_size,tune,9,21,8.242781504988047
KatsuuraEvaluation,migration_size,tune,9,22,8.836543768937691
KatsuuraEvaluation,migration_size,tune,9,23,8.483630577157282
KatsuuraEvaluation,migration_size,tune,9,24,9.20261748546884
KatsuuraEvaluation,migration_size,tune,9,25,9.546355104866656
KatsuuraEvaluation,migration_size,tune,9,26,8.770365479525337
KatsuuraEvaluation,migration_size,tune,9,27,9.222985751255138
KatsuuraEvaluation,migration_size,tune,9,28,9.766196205861652
KatsuuraEvaluation,migration_size,tune,9,29,8.827028901666203
KatsuuraEvaluation,migration_size,tune,9,30,9.096476885906467
KatsuuraEvaluation,migration_size,tune,9,31,8.635919848020917
KatsuuraEvaluation,migration_size,tune,9,32,8.745733035445957
KatsuuraEvaluation,migration_size,tune,9,33,9.026773906241294
KatsuuraEvaluation,migration_size,tune,9,34,8.531131930050565
KatsuuraEvaluation,migration_size,tune,9,35,8.43232594692713
KatsuuraEvaluation,migration_size,tune,9,36,8.809326295268878
KatsuuraEvaluation,migration_size,tune,9,37,8.988904968777332
KatsuuraEvaluation,migration_size,tune,9,38,8.951018797741803
KatsuuraEvaluation,migration_size,tune,9,39,9.012007998755516
KatsuuraEvaluation,migration_size,tune,9,40,9.174947366624997
KatsuuraEvaluation,migration_size,tune,9,41,8.90834009173774
KatsuuraEvaluation,migration_size,tune,9,42,8.990536656432939
KatsuuraEvaluation,migration_size,tune,9,43,8.752595103274665
KatsuuraEvaluation,migration_size,tune,9,44,8.914057781779924
KatsuuraEvaluation,migration_size,tune,9,45,9.233498873152092
KatsuuraEvaluation,migration_size,tune,9,46,8.356076941730887
KatsuuraEvaluation,migration_size,tune,9,47,9.288074367606415
KatsuuraEvaluation,migration_size,tune,9,48,8.522598967476874
KatsuuraEvaluation,migration_size,tune,9,49,9.155654076625488
KatsuuraEvaluation,migration_size,tune,9,50,8.531833762406634
