Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_size,adaptive,-1,1,9.995740412306453
SchaffersEvaluation,migration_size,adaptive,-1,2,9.988427071009049
SchaffersEvaluation,migration_size,adaptive,-1,3,9.999369731878424
SchaffersEvaluation,migration_size,adaptive,-1,4,9.999874414962287
SchaffersEvaluation,migration_size,adaptive,-1,5,9.99999514963631
SchaffersEvaluation,migration_size,adaptive,-1,6,9.992336675116126
SchaffersEvaluation,migration_size,adaptive,-1,7,9.999999931964044
SchaffersEvaluation,migration_size,adaptive,-1,8,9.999471097719594
SchaffersEvaluation,migration_size,adaptive,-1,9,9.995379534162458
SchaffersEvaluation,migration_size,adaptive,-1,10,9.999884810544
SchaffersEvaluation,migration_size,adaptive,-1,11,9.999518430769118
SchaffersEvaluation,migration_size,adaptive,-1,12,9.926177110399582
SchaffersEvaluation,migration_size,adaptive,-1,13,9.99995827018283
SchaffersEvaluation,migration_size,adaptive,-1,14,9.999960356398965
SchaffersEvaluation,migration_size,adaptive,-1,15,9.999957692548984
SchaffersEvaluation,migration_size,adaptive,-1,16,10.0
SchaffersEvaluation,migration_size,adaptive,-1,17,9.966840589659856
SchaffersEvaluation,migration_size,adaptive,-1,18,9.999881711309268
SchaffersEvaluation,migration_size,adaptive,-1,19,10.0
SchaffersEvaluation,migration_size,adaptive,-1,20,9.993095469467807
SchaffersEvaluation,migration_size,adaptive,-1,21,9.999960609888433
SchaffersEvaluation,migration_size,adaptive,-1,22,10.0
SchaffersEvaluation,migration_size,adaptive,-1,23,9.970746798991444
SchaffersEvaluation,migration_size,adaptive,-1,24,9.990523105600918
SchaffersEvaluation,migration_size,adaptive,-1,25,9.99994862629529
SchaffersEvaluation,migration_size,adaptive,-1,26,9.999533372611676
SchaffersEvaluation,migration_size,adaptive,-1,27,9.999949522637836
SchaffersEvaluation,migration_size,adaptive,-1,28,9.99996038235608
SchaffersEvaluation,migration_size,adaptive,-1,29,9.996825851140574
SchaffersEvaluation,migration_size,adaptive,-1,30,9.999993483049256
SchaffersEvaluation,migration_size,adaptive,-1,31,9.999923968021381
SchaffersEvaluation,migration_size,adaptive,-1,32,9.99883777763933
SchaffersEvaluation,migration_size,adaptive,-1,33,9.999979636728703
SchaffersEvaluation,migration_size,adaptive,-1,34,9.999479644131844
SchaffersEvaluation,migration_size,adaptive,-1,35,9.99338449758573
SchaffersEvaluation,migration_size,adaptive,-1,36,9.999993333424053
SchaffersEvaluation,migration_size,adaptive,-1,37,9.999960617943293
SchaffersEvaluation,migration_size,adaptive,-1,38,9.994123119060763
SchaffersEvaluation,migration_size,adaptive,-1,39,9.999823105422706
SchaffersEvaluation,migration_size,adaptive,-1,40,9.999921396256752
SchaffersEvaluation,migration_size,adaptive,-1,41,9.958194279488064
SchaffersEvaluation,migration_size,adaptive,-1,42,9.999839178567443
SchaffersEvaluation,migration_size,adaptive,-1,43,9.999747917571376
SchaffersEvaluation,migration_size,adaptive,-1,44,9.996479916305145
SchaffersEvaluation,migration_size,adaptive,-1,45,10.0
SchaffersEvaluation,migration_size,adaptive,-1,46,9.999950150267418
SchaffersEvaluation,migration_size,adaptive,-1,47,9.999085099706676
SchaffersEvaluation,migration_size,adaptive,-1,48,9.999980275108067
SchaffersEvaluation,migration_size,adaptive,-1,49,9.996926337245593
SchaffersEvaluation,migration_size,adaptive,-1,50,9.99445840859724
