Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_size,determinstic,-1,1,9.998246963416408
SchaffersEvaluation,migration_size,determinstic,-1,2,9.998912699528134
SchaffersEvaluation,migration_size,determinstic,-1,3,9.999613402951642
SchaffersEvaluation,migration_size,determinstic,-1,4,9.999952281577416
SchaffersEvaluation,migration_size,determinstic,-1,5,9.999812108426463
SchaffersEvaluation,migration_size,determinstic,-1,6,9.999993541367683
SchaffersEvaluation,migration_size,determinstic,-1,7,9.999806051016119
SchaffersEvaluation,migration_size,determinstic,-1,8,9.999841187568276
SchaffersEvaluation,migration_size,determinstic,-1,9,9.9995970273072
SchaffersEvaluation,migration_size,determinstic,-1,10,9.999694559391818
SchaffersEvaluation,migration_size,determinstic,-1,11,9.99986443872474
SchaffersEvaluation,migration_size,determinstic,-1,12,9.933373770471551
SchaffersEvaluation,migration_size,determinstic,-1,13,9.999980289485153
SchaffersEvaluation,migration_size,determinstic,-1,14,9.998638541917098
SchaffersEvaluation,migration_size,determinstic,-1,15,9.999995175264353
SchaffersEvaluation,migration_size,determinstic,-1,16,9.999805482701467
SchaffersEvaluation,migration_size,determinstic,-1,17,9.946777151477548
SchaffersEvaluation,migration_size,determinstic,-1,18,9.99958074220435
SchaffersEvaluation,migration_size,determinstic,-1,19,9.99999935352368
SchaffersEvaluation,migration_size,determinstic,-1,20,9.993421325440348
SchaffersEvaluation,migration_size,determinstic,-1,21,9.999955191565745
SchaffersEvaluation,migration_size,determinstic,-1,22,10.0
SchaffersEvaluation,migration_size,determinstic,-1,23,9.969035067185295
SchaffersEvaluation,migration_size,determinstic,-1,24,9.969619491730308
SchaffersEvaluation,migration_size,determinstic,-1,25,9.999949421399398
SchaffersEvaluation,migration_size,determinstic,-1,26,9.999976660356296
SchaffersEvaluation,migration_size,determinstic,-1,27,9.999979798996833
SchaffersEvaluation,migration_size,determinstic,-1,28,10.0
SchaffersEvaluation,migration_size,determinstic,-1,29,9.941561470983242
SchaffersEvaluation,migration_size,determinstic,-1,30,9.999873099116636
SchaffersEvaluation,migration_size,determinstic,-1,31,9.99905947995948
SchaffersEvaluation,migration_size,determinstic,-1,32,9.999708960194903
SchaffersEvaluation,migration_size,determinstic,-1,33,9.999980308403748
SchaffersEvaluation,migration_size,determinstic,-1,34,9.999677121440335
SchaffersEvaluation,migration_size,determinstic,-1,35,9.988726820460744
SchaffersEvaluation,migration_size,determinstic,-1,36,9.998007625663686
SchaffersEvaluation,migration_size,determinstic,-1,37,9.999365641608462
SchaffersEvaluation,migration_size,determinstic,-1,38,9.998454810735804
SchaffersEvaluation,migration_size,determinstic,-1,39,9.999712472623338
SchaffersEvaluation,migration_size,determinstic,-1,40,9.99997920075119
SchaffersEvaluation,migration_size,determinstic,-1,41,9.955426245029498
SchaffersEvaluation,migration_size,determinstic,-1,42,9.999999457990267
SchaffersEvaluation,migration_size,determinstic,-1,43,9.999944178524117
SchaffersEvaluation,migration_size,determinstic,-1,44,9.999328927389499
SchaffersEvaluation,migration_size,determinstic,-1,45,9.999991733765775
SchaffersEvaluation,migration_size,determinstic,-1,46,9.999820839743588
SchaffersEvaluation,migration_size,determinstic,-1,47,9.992077376488984
SchaffersEvaluation,migration_size,determinstic,-1,48,9.999993183487716
SchaffersEvaluation,migration_size,determinstic,-1,49,9.995837490098236
SchaffersEvaluation,migration_size,determinstic,-1,50,9.991245560412395
