Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_size,tune,0,1,9.999919348708477
SchaffersEvaluation,migration_size,tune,0,2,9.984106043960255
SchaffersEvaluation,migration_size,tune,0,3,9.999238019057344
SchaffersEvaluation,migration_size,tune,0,4,9.982558970437108
SchaffersEvaluation,migration_size,tune,0,5,9.99978086170125
SchaffersEvaluation,migration_size,tune,0,6,9.999470097970422
SchaffersEvaluation,migration_size,tune,0,7,9.9999950308044
SchaffersEvaluation,migration_size,tune,0,8,9.999699711331923
SchaffersEvaluation,migration_size,tune,0,9,9.998948268504268
SchaffersEvaluation,migration_size,tune,0,10,9.999979832310686
SchaffersEvaluation,migration_size,tune,0,11,9.999975229856863
SchaffersEvaluation,migration_size,tune,0,12,9.995967362505153
SchaffersEvaluation,migration_size,tune,0,13,10.0
SchaffersEvaluation,migration_size,tune,0,14,9.999722601011339
SchaffersEvaluation,migration_size,tune,0,15,9.99995147424739
SchaffersEvaluation,migration_size,tune,0,16,9.99939485355346
SchaffersEvaluation,migration_size,tune,0,17,9.988908977463874
SchaffersEvaluation,migration_size,tune,0,18,9.988707812049796
SchaffersEvaluation,migration_size,tune,0,19,9.999112290526526
SchaffersEvaluation,migration_size,tune,0,20,9.996960484307829
SchaffersEvaluation,migration_size,tune,0,21,9.99977631308266
SchaffersEvaluation,migration_size,tune,0,22,9.999551764275639
SchaffersEvaluation,migration_size,tune,0,23,9.965592794667934
SchaffersEvaluation,migration_size,tune,0,24,9.998611273606159
SchaffersEvaluation,migration_size,tune,0,25,9.994878425068647
SchaffersEvaluation,migration_size,tune,0,26,10.0
SchaffersEvaluation,migration_size,tune,0,27,9.999304388624346
SchaffersEvaluation,migration_size,tune,0,28,9.999861886866807
SchaffersEvaluation,migration_size,tune,0,29,9.969748751802182
SchaffersEvaluation,migration_size,tune,0,30,9.999980215145147
SchaffersEvaluation,migration_size,tune,0,31,9.998496049172724
SchaffersEvaluation,migration_size,tune,0,32,9.999672413341155
SchaffersEvaluation,migration_size,tune,0,33,9.999706172066551
SchaffersEvaluation,migration_size,tune,0,34,9.999321912550391
SchaffersEvaluation,migration_size,tune,0,35,9.999980230268209
SchaffersEvaluation,migration_size,tune,0,36,9.999729044945958
SchaffersEvaluation,migration_size,tune,0,37,9.99987385022913
SchaffersEvaluation,migration_size,tune,0,38,9.982174402858131
SchaffersEvaluation,migration_size,tune,0,39,9.999361449311648
SchaffersEvaluation,migration_size,tune,0,40,9.997486296405718
SchaffersEvaluation,migration_size,tune,0,41,9.9581127644079
SchaffersEvaluation,migration_size,tune,0,42,9.999817981990947
SchaffersEvaluation,migration_size,tune,0,43,9.998891629376413
SchaffersEvaluation,migration_size,tune,0,44,9.996963563614205
SchaffersEvaluation,migration_size,tune,0,45,9.99913663770592
SchaffersEvaluation,migration_size,tune,0,46,9.99933358106902
SchaffersEvaluation,migration_size,tune,0,47,9.999592101398347
SchaffersEvaluation,migration_size,tune,0,48,9.999833598288033
SchaffersEvaluation,migration_size,tune,0,49,9.998988920514426
SchaffersEvaluation,migration_size,tune,0,50,9.999993511798515
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_size,tune,1,1,9.999918866258412
SchaffersEvaluation,migration_size,tune,1,2,9.99798762236085
SchaffersEvaluation,migration_size,tune,1,3,9.998542949448893
SchaffersEvaluation,migration_size,tune,1,4,9.982827538641581
SchaffersEvaluation,migration_size,tune,1,5,10.0
SchaffersEvaluation,migration_size,tune,1,6,9.999924740341783
SchaffersEvaluation,migration_size,tune,1,7,9.99969946782144
SchaffersEvaluation,migration_size,tune,1,8,9.999773509641393
SchaffersEvaluation,migration_size,tune,1,9,9.999823015226921
SchaffersEvaluation,migration_size,tune,1,10,9.998685447558453
SchaffersEvaluation,migration_size,tune,1,11,9.999975252775451
SchaffersEvaluation,migration_size,tune,1,12,9.997238901326526
SchaffersEvaluation,migration_size,tune,1,13,9.99962249828889
SchaffersEvaluation,migration_size,tune,1,14,9.999700064857734
SchaffersEvaluation,migration_size,tune,1,15,9.999979971146942
SchaffersEvaluation,migration_size,tune,1,16,9.99921390425671
SchaffersEvaluation,migration_size,tune,1,17,9.969564653459308
SchaffersEvaluation,migration_size,tune,1,18,9.991210361567074
SchaffersEvaluation,migration_size,tune,1,19,9.999608090326847
SchaffersEvaluation,migration_size,tune,1,20,9.999974392062379
SchaffersEvaluation,migration_size,tune,1,21,9.999644041720298
SchaffersEvaluation,migration_size,tune,1,22,9.999956397013982
SchaffersEvaluation,migration_size,tune,1,23,9.965592506022015
SchaffersEvaluation,migration_size,tune,1,24,9.997542407442205
SchaffersEvaluation,migration_size,tune,1,25,9.995228781825992
SchaffersEvaluation,migration_size,tune,1,26,9.999916301503465
SchaffersEvaluation,migration_size,tune,1,27,9.99930436794586
SchaffersEvaluation,migration_size,tune,1,28,9.999993106114738
SchaffersEvaluation,migration_size,tune,1,29,9.996107695661767
SchaffersEvaluation,migration_size,tune,1,30,9.999980267678978
SchaffersEvaluation,migration_size,tune,1,31,9.99995488914051
SchaffersEvaluation,migration_size,tune,1,32,9.999704065535752
SchaffersEvaluation,migration_size,tune,1,33,9.999841195225397
SchaffersEvaluation,migration_size,tune,1,34,9.999321928240217
SchaffersEvaluation,migration_size,tune,1,35,9.999943834040671
SchaffersEvaluation,migration_size,tune,1,36,9.99972905046283
SchaffersEvaluation,migration_size,tune,1,37,9.999959055550447
SchaffersEvaluation,migration_size,tune,1,38,9.99811158708812
SchaffersEvaluation,migration_size,tune,1,39,9.999927690649105
SchaffersEvaluation,migration_size,tune,1,40,9.999871572499563
SchaffersEvaluation,migration_size,tune,1,41,9.967661688211988
SchaffersEvaluation,migration_size,tune,1,42,9.999820060680163
SchaffersEvaluation,migration_size,tune,1,43,9.999758036993029
SchaffersEvaluation,migration_size,tune,1,44,10.0
SchaffersEvaluation,migration_size,tune,1,45,9.999064120077293
SchaffersEvaluation,migration_size,tune,1,46,9.999700980054026
SchaffersEvaluation,migration_size,tune,1,47,9.999709535715963
SchaffersEvaluation,migration_size,tune,1,48,9.999533021708046
SchaffersEvaluation,migration_size,tune,1,49,9.998154653653307
SchaffersEvaluation,migration_size,tune,1,50,9.999993507866398
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_size,tune,2,1,9.999629379325935
SchaffersEvaluation,migration_size,tune,2,2,9.991539891290307
SchaffersEvaluation,migration_size,tune,2,3,9.997370924662105
SchaffersEvaluation,migration_size,tune,2,4,9.981424805280081
SchaffersEvaluation,migration_size,tune,2,5,10.0
SchaffersEvaluation,migration_size,tune,2,6,9.998522824661972
SchaffersEvaluation,migration_size,tune,2,7,9.9996994552108
SchaffersEvaluation,migration_size,tune,2,8,9.999773495412223
SchaffersEvaluation,migration_size,tune,2,9,9.999034952583223
SchaffersEvaluation,migration_size,tune,2,10,9.999916842849183
SchaffersEvaluation,migration_size,tune,2,11,10.0
SchaffersEvaluation,migration_size,tune,2,12,9.970478037714159
SchaffersEvaluation,migration_size,tune,2,13,9.999960597415427
SchaffersEvaluation,migration_size,tune,2,14,9.999530083595914
SchaffersEvaluation,migration_size,tune,2,15,9.999979971925303
SchaffersEvaluation,migration_size,tune,2,16,9.999707496003523
SchaffersEvaluation,migration_size,tune,2,17,9.977011766246033
SchaffersEvaluation,migration_size,tune,2,18,10.0
SchaffersEvaluation,migration_size,tune,2,19,9.999781225233132
SchaffersEvaluation,migration_size,tune,2,20,9.999129893697663
SchaffersEvaluation,migration_size,tune,2,21,9.99991202250171
SchaffersEvaluation,migration_size,tune,2,22,9.999959239156453
SchaffersEvaluation,migration_size,tune,2,23,9.883671132409205
SchaffersEvaluation,migration_size,tune,2,24,9.997761776364111
SchaffersEvaluation,migration_size,tune,2,25,9.994861018210008
SchaffersEvaluation,migration_size,tune,2,26,9.999953455614497
SchaffersEvaluation,migration_size,tune,2,27,9.9998259062316
SchaffersEvaluation,migration_size,tune,2,28,9.99992591792097
SchaffersEvaluation,migration_size,tune,2,29,9.998675692862161
SchaffersEvaluation,migration_size,tune,2,30,9.999960286988154
SchaffersEvaluation,migration_size,tune,2,31,9.999991217638412
SchaffersEvaluation,migration_size,tune,2,32,9.99890540515785
SchaffersEvaluation,migration_size,tune,2,33,9.996178948317073
SchaffersEvaluation,migration_size,tune,2,34,9.999766124710165
SchaffersEvaluation,migration_size,tune,2,35,9.99803836833747
SchaffersEvaluation,migration_size,tune,2,36,9.999539912591306
SchaffersEvaluation,migration_size,tune,2,37,9.99708397518818
SchaffersEvaluation,migration_size,tune,2,38,9.983264103656879
SchaffersEvaluation,migration_size,tune,2,39,9.999973958215705
SchaffersEvaluation,migration_size,tune,2,40,9.999682581699412
SchaffersEvaluation,migration_size,tune,2,41,9.99581695023625
SchaffersEvaluation,migration_size,tune,2,42,9.999312698345733
SchaffersEvaluation,migration_size,tune,2,43,9.99975791421656
SchaffersEvaluation,migration_size,tune,2,44,9.9999941180277
SchaffersEvaluation,migration_size,tune,2,45,9.99935944384201
SchaffersEvaluation,migration_size,tune,2,46,9.99999981263098
SchaffersEvaluation,migration_size,tune,2,47,9.999771659059032
SchaffersEvaluation,migration_size,tune,2,48,9.999565633185771
SchaffersEvaluation,migration_size,tune,2,49,9.995267509969226
SchaffersEvaluation,migration_size,tune,2,50,9.99896448587969
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,migration_size,tune,3,1,9.999919898427999
SchaffersEvaluation,migration_size,tune,3,2,9.993436151413375
SchaffersEvaluation,migration_size,tune,3,3,9.99988322356253
SchaffersEvaluation,migration_size,tune,3,4,9.999360074461844
SchaffersEvaluation,migration_size,tune,3,5,9.998766661593356
SchaffersEvaluation,migration_size,tune,3,6,9.99816785584972
SchaffersEvaluation,migration_size,tune,3,7,9.999919816025049
SchaffersEvaluation,migration_size,tune,3,8,9.998180120478644
SchaffersEvaluation,migration_size,tune,3,9,9.99943194998348
SchaffersEvaluation,migration_size,tune,3,10,9.998714009275552
SchaffersEvaluation,migration_size,tune,3,11,9.99991504953637
SchaffersEvaluation,migration_size,tune,3,12,9.970175460255115
SchaffersEvaluation,migration_size,tune,3,13,9.999644631165935
SchaffersEvaluation,migration_size,tune,3,14,9.99914052406244
SchaffersEvaluation,migration_size,tune,3,15,9.999920345546863
SchaffersEvaluation,migration_size,tune,3,16,9.999340387887228
SchaffersEvaluation,migration_size,tune,3,17,9.97770661129562
SchaffersEvaluation,migration_size,tune,3,18,9.999951762455574
SchaffersEvaluation,migration_size,tune,3,19,9.999973965803846
SchaffersEvaluation,migration_size,tune,3,20,9.999882614674465
SchaffersEvaluation,migration_size,tune,3,21,9.99953025349447
SchaffersEvaluation,migration_size,tune,3,22,9.999926234522524
SchaffersEvaluation,migration_size,tune,3,23,9.88437062854597
SchaffersEvaluation,migration_size,tune,3,24,9.997761661232678
SchaffersEvaluation,migration_size,tune,3,25,9.99572867072873
SchaffersEvaluation,migration_size,tune,3,26,9.999873140043555
SchaffersEvaluation,migration_size,tune,3,27,9.999918288952538
SchaffersEvaluation,migration_size,tune,3,28,9.999549878930553
SchaffersEvaluation,migration_size,tune,3,29,9.99694456856538
SchaffersEvaluation,migration_size,tune,3,30,10.0
SchaffersEvaluation,migration_size,tune,3,31,9.999398997522826
SchaffersEvaluation,migration_size,tune,3,32,9.992823143107742
SchaffersEvaluation,migration_size,tune,3,33,9.999880820437312
SchaffersEvaluation,migration_size,tune,3,34,9.999830036852737
